case,mode,repeat,elapsed_ms,n_bus,n_pv,n_pq,ybus_nnz,jacobian_dim,jacobian_nnz
case_ACTIVSg25k,edge_atomic,14,0.018208,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,15,0.017568,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,16,0.018176,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,17,0.018432,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,18,0.018432,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,19,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,20,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,21,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,22,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,23,0.018432,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,24,0.018432,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,25,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,26,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,27,0.017632,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,28,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_atomic,29,0.017408,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,0,0.014336,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,1,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,2,0.013312,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,3,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,4,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,5,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,6,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,7,0.013056,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,8,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,9,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,10,0.012480,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,11,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,12,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,13,0.013312,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,14,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,15,0.013184,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,16,0.013312,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,17,0.013312,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,18,0.012288,25000,2752,22247,85220,47246,318672
case_ACTIVSg25k,edge_noatomic,19,0.013312,25000,2752,22247,85220,47246,318672
