analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
7.3e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.000222,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,6,0.000149,cpu_fp64_edge,True
7.1e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.000215,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,7,0.000144,cpu_fp64_edge,True
6.7e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.000211,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,8,0.000143,cpu_fp64_edge,True
6.6e-05,cpu,118,case118_ieee,,fp64,case118_ieee,0.00021,6.147611450104e-11,cpp,5,edge_based,1.00256361749,end2end,64,cpp,53,9,0.000143,cpu_fp64_edge,True
0.011183,cuda,118,case118_ieee,,mixed,case118_ieee,0.012018,6.599301441851e-11,cuda_edge,5,edge_based,1.002563617485,end2end,64,cuda_edge,53,0,0.000834,cuda_mixed_edge,True
0.010976,cuda,118,case118_ieee,,mixed,case118_ieee,0.011811,6.553968479039e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,1,0.000834,cuda_mixed_edge,True
0.010815,cuda,118,case118_ieee,,mixed,case118_ieee,0.011669,7.382300326597e-11,cuda_edge,5,edge_based,1.002563617485,end2end,64,cuda_edge,53,2,0.000854,cuda_mixed_edge,True
0.010827,cuda,118,case118_ieee,,mixed,case118_ieee,0.01164,6.962946616535e-11,cuda_edge,5,edge_based,1.002563617498,end2end,64,cuda_edge,53,3,0.000812,cuda_mixed_edge,True
0.010806,cuda,118,case118_ieee,,mixed,case118_ieee,0.01166,7.039209127172e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,4,0.000854,cuda_mixed_edge,True
0.010816,cuda,118,case118_ieee,,mixed,case118_ieee,0.011646,6.170337078588e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,5,0.000829,cuda_mixed_edge,True
0.011023,cuda,118,case118_ieee,,mixed,case118_ieee,0.011848,6.64482054889e-11,cuda_edge,5,edge_based,1.002563617482,end2end,64,cuda_edge,53,6,0.000825,cuda_mixed_edge,True
0.010847,cuda,118,case118_ieee,,mixed,case118_ieee,0.011678,7.354185770872e-11,cuda_edge,5,edge_based,1.002563617497,end2end,64,cuda_edge,53,7,0.00083,cuda_mixed_edge,True
0.01086,cuda,118,case118_ieee,,mixed,case118_ieee,0.011689,6.926448840458e-11,cuda_edge,5,edge_based,1.002563617489,end2end,64,cuda_edge,53,8,0.000828,cuda_mixed_edge,True
0.011038,cuda,118,case118_ieee,,mixed,case118_ieee,0.011861,6.363812870622e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,9,0.000823,cuda_mixed_edge,True
