algorithm,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
modified,0.01608,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018193,3.96489989402e-11,cuda_edge_modified,5,edge_based,0.02916330894729,end2end,1608,cuda_edge_modified,391,4,0.002113,cuda_mixed_edge_modified,True
modified,0.018703,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.020841,3.970420013764e-11,cuda_edge_modified,5,edge_based,0.02916330894727,end2end,1608,cuda_edge_modified,391,5,0.002138,cuda_mixed_edge_modified,True
modified,0.016375,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018463,3.962453282474e-11,cuda_edge_modified,5,edge_based,0.02916330894729,end2end,1608,cuda_edge_modified,391,6,0.002088,cuda_mixed_edge_modified,True
modified,0.016269,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018378,3.940511920331e-11,cuda_edge_modified,5,edge_based,0.02916330894726,end2end,1608,cuda_edge_modified,391,7,0.002108,cuda_mixed_edge_modified,True
modified,0.016011,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018109,3.968917115478e-11,cuda_edge_modified,5,edge_based,0.02916330894729,end2end,1608,cuda_edge_modified,391,8,0.002097,cuda_mixed_edge_modified,True
modified,0.016249,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.018355,3.928566225228e-11,cuda_edge_modified,5,edge_based,0.02916330894728,end2end,1608,cuda_edge_modified,391,9,0.002106,cuda_mixed_edge_modified,True
standard,0.039548,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.045516,1.786472289544e-10,cuda_edge,5,edge_based,0.05033550758094,end2end,5553,cuda_edge,104,0,0.005968,cuda_mixed_edge,True
standard,0.028853,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.034264,1.858204978777e-10,cuda_edge,5,edge_based,0.05033550758094,end2end,5553,cuda_edge,104,1,0.00541,cuda_mixed_edge,True
standard,0.026127,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.031607,3.409814652855e-10,cuda_edge,5,edge_based,0.05033550758069,end2end,5553,cuda_edge,104,2,0.00548,cuda_mixed_edge,True
standard,0.033699,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.038247,1.366813329184e-10,cuda_edge,5,edge_based,0.05033550758093,end2end,5553,cuda_edge,104,3,0.004548,cuda_mixed_edge,True
standard,0.049739,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.054029,1.554592565789e-10,cuda_edge,5,edge_based,0.05033550758081,end2end,5553,cuda_edge,104,4,0.004289,cuda_mixed_edge,True
standard,0.042069,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.046169,4.163860783946e-10,cuda_edge,5,edge_based,0.05033550758057,end2end,5553,cuda_edge,104,5,0.0041,cuda_mixed_edge,True
standard,0.024242,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.028337,1.890413034444e-10,cuda_edge,5,edge_based,0.05033550758076,end2end,5553,cuda_edge,104,6,0.004095,cuda_mixed_edge,True
standard,0.023989,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.028065,2.373705676462e-10,cuda_edge,5,edge_based,0.05033550758079,end2end,5553,cuda_edge,104,7,0.004076,cuda_mixed_edge,True
standard,0.037285,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.041377,1.803673044254e-10,cuda_edge,5,edge_based,0.05033550758094,end2end,5553,cuda_edge,104,8,0.004092,cuda_mixed_edge,True
standard,0.032991,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.03707,2.622447953238e-10,cuda_edge,5,edge_based,0.0503355075806,end2end,5553,cuda_edge,104,9,0.004079,cuda_mixed_edge,True
modified,0.025339,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.02931,1.482987344037e-11,cuda_edge_modified,6,edge_based,0.05033550758126,end2end,5553,cuda_edge_modified,104,0,0.00397,cuda_mixed_edge_modified,True
modified,0.024239,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.028256,1.744187433372e-11,cuda_edge_modified,6,edge_based,0.05033550758125,end2end,5553,cuda_edge_modified,104,1,0.004017,cuda_mixed_edge_modified,True
modified,0.023947,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.027879,1.392206488982e-11,cuda_edge_modified,6,edge_based,0.05033550758126,end2end,5553,cuda_edge_modified,104,2,0.003932,cuda_mixed_edge_modified,True
modified,0.024098,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.028052,1.228328549985e-11,cuda_edge_modified,6,edge_based,0.05033550758127,end2end,5553,cuda_edge_modified,104,3,0.003953,cuda_mixed_edge_modified,True
