CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear.avg_sec,NR.iteration.linear.count,NR.iteration.linear.total_sec,NR.iteration.linear_factorize.avg_sec,NR.iteration.linear_factorize.count,NR.iteration.linear_factorize.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,algorithm,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.013649,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014734,6.923605386613e-12,cuda_edge,3,edge_based,6.383030319672e-05,end2end,805,cuda_edge,187,3,0.001084,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.013667,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014757,3.704238707671e-12,cuda_edge,3,edge_based,6.383030321768e-05,end2end,805,cuda_edge,187,4,0.00109,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.048308,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.049414,2.382022001408e-12,cuda_edge,3,edge_based,6.38303032467e-05,end2end,805,cuda_edge,187,5,0.001105,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.014794,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.0159,4.331161548658e-12,cuda_edge,3,edge_based,6.383030323989e-05,end2end,805,cuda_edge,187,6,0.001106,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.019622,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.020715,4.019443563993e-12,cuda_edge,3,edge_based,6.383030321544e-05,end2end,805,cuda_edge,187,7,0.001093,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.01735,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.018438,1.026759231447e-11,cuda_edge,3,edge_based,6.383030323028e-05,end2end,805,cuda_edge,187,8,0.001087,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard,0.014284,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.015411,3.887650439479e-12,cuda_edge,3,edge_based,6.383030323031e-05,end2end,805,cuda_edge,187,9,0.001127,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.014146,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.01493,7.196235535311e-12,cuda_edge_modified,3,edge_based,6.383030303949e-05,end2end,805,cuda_edge_modified,187,0,0.000784,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.013911,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014683,7.017341695789e-12,cuda_edge_modified,3,edge_based,6.38303030289e-05,end2end,805,cuda_edge_modified,187,1,0.000772,cuda_mixed_edge_modified,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modified,0.013799,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.014781,7.017090139402e-12,cuda_edge_modified,3,edge_based,6.383030299805e-05,end2end,805,cuda_edge_modified,187,2,0.000982,cuda_mixed_edge_modified,True
