case_name,delta_ms_modified_minus_standard,metric,modified_count_mean,modified_ms_mean,modified_runs_used,modified_sec_mean,speedup_standard_over_modified,standard_count_mean,standard_ms_mean,standard_runs_used,standard_sec_mean
Texas7k_20220923,-0.6101000000000001,NR.iteration.linear_factorize.total_sec,2.0,1.1779,10,0.0011779,1.5179556838441295,3.0,1.788,10,0.001788
Texas7k_20220923,0.13150000000000012,NR.iteration.linear_solve.total_sec,3.8,1.1937,10,0.0011937,0.8898383178353019,3.0,1.0621999999999998,10,0.0010622
Texas7k_20220923,0.014199999999999992,NR.iteration.voltage_update.total_sec,3.8,0.0795,10,7.95e-05,0.8213836477987422,3.0,0.0653,10,6.53e-05
Texas7k_20220923,-0.020200000000000058,CUDA.solve.factorization32.total_sec,1.0,0.6372,10,0.0006372,1.0317011927181419,1.0,0.6574000000000001,10,0.0006574
Texas7k_20220923,-0.5897999999999999,CUDA.solve.refactorization32.total_sec,1.0,0.5405,10,0.0005405,2.0912118408880667,2.0,1.1302999999999999,10,0.0011302999999999999
Texas7k_20220923,-0.035999999999999956,CUDA.solve.rhsPrepare.total_sec,3.8,0.24580000000000002,10,0.0002458,1.146460537021969,3.0,0.28179999999999994,10,0.00028179999999999997
Texas7k_20220923,0.18480000000000005,CUDA.solve.solve32.total_sec,3.8,0.9364,10,0.0009364,0.802648440837249,3.0,0.7515999999999999,10,0.0007516
case_ACTIVSg200,-0.0007638888888888924,NR.iteration.mismatch.total_sec,3.0,0.079125,8,7.9125e-05,1.0096542039670002,3.0,0.0798888888888889,9,7.988888888888889e-05
case_ACTIVSg200,-0.012986111111111111,NR.iteration.jacobian.total_sec,1.0,0.013125,8,1.3124999999999999e-05,1.9894179894179895,2.0,0.02611111111111111,9,2.611111111111111e-05
case_ACTIVSg200,-0.1067361111111111,NR.iteration.linear.total_sec,2.0,0.292375,8,0.000292375,1.3650657925989265,2.0,0.3991111111111111,9,0.0003991111111111111
case_ACTIVSg200,-0.10229166666666667,NR.iteration.linear_factorize.total_sec,1.0,0.110375,8,0.000110375,1.9267648169120424,2.0,0.21266666666666667,9,0.00021266666666666667
case_ACTIVSg200,-0.0036388888888888807,NR.iteration.linear_solve.total_sec,2.0,0.18125000000000002,8,0.00018125000000000001,1.0200766283524905,2.0,0.1848888888888889,9,0.0001848888888888889
case_ACTIVSg200,-0.0003472222222222269,NR.iteration.voltage_update.total_sec,2.0,0.039875,8,3.9875e-05,1.008707767328457,2.0,0.04022222222222223,9,4.022222222222223e-05
case_ACTIVSg200,0.0008055555555555556,CUDA.solve.factorization32.total_sec,1.0,0.11025000000000001,8,0.00011025000000000001,0.9926933736457546,1.0,0.10944444444444446,9,0.00010944444444444445
case_ACTIVSg200,,CUDA.solve.refactorization32.total_sec,,,8,,,1.0,0.10311111111111111,9,0.00010311111111111111
