case,n_bus,ybus_nnz,cudss_ok_runs,custom_ok_runs,cudss_converged_runs,custom_converged_runs,cudss_initialize_mean_ms,custom_initialize_mean_ms,initialize_custom_over_cudss,cudss_solve_mean_ms,custom_solve_mean_ms,solve_custom_over_cudss,cudss_total_mean_ms,custom_total_mean_ms,total_custom_over_cudss,status
case70da,70,206,10,10,10,10,18.558872007997707,0.754395400872454,0.04064877437310614,0.6715150026138872,0.5690587917342782,0.8474252839016315,19.230387010611594,1.3234541926067322,0.06882098586348948,ok
case74ds,74,220,10,10,10,10,18.5469689022284,0.754276110092178,0.04066843019300865,0.5730412085540593,0.5402217851951718,0.9427276383112134,19.12001011078246,1.2944978952873498,0.0677038290140514,ok
case8387pegase,8387,34377,10,10,10,10,80.97398969694041,22.980881086550653,0.2838057155459512,4.448683903319761,3.580300702014938,0.8047999767623846,85.42267360026017,26.56118178856559,0.3109383102764966,ok
case85,85,253,10,10,10,10,18.87988380040042,0.7811856106854975,0.04137661115631069,0.761985604185611,0.6503272918052971,0.8534640132740419,19.641869404586032,1.4315129024907947,0.07288068528531004,ok
case89pegase,89,501,10,10,10,10,19.436436105752364,1.008254213957116,0.05187443873307182,1.4964395144488662,1.2326176918577403,0.8237003099398303,20.93287562020123,2.2408719058148563,0.10705036166422865,ok
case9,9,27,10,10,10,10,18.18361470941454,0.7484721019864082,0.041161898442496576,0.5468530987855047,0.516125705325976,0.9438105159726249,18.730467808200046,1.2645978073123842,0.06751554847758547,ok
case9241pegase,9241,37655,10,10,10,10,88.39001159649342,25.537142006214708,0.2889143416203354,8.699567912844941,7.5254038092680275,0.865031905568177,97.08957950933836,33.062545815482736,0.34053650229582755,ok
case94pi,94,280,10,10,10,10,18.887617404107004,0.8155960065778345,0.043181518829393896,0.7719799992628396,0.6799636932555586,0.8808048057007346,19.659597403369844,1.495559699833393,0.07607275312652333,ok
case9Q,9,27,10,10,10,10,18.145673407707363,0.7118833949789405,0.03923157763197526,0.54596948903054,0.48975710524246097,0.8970411627069244,18.691642896737903,1.2016405002214015,0.06428758065087546,ok
case9target,9,27,10,10,10,10,18.193996901391074,0.7049293955788016,0.03874516409997323,0.7519919949118048,0.6840755115263164,0.9096845659993312,18.94598889630288,1.389004907105118,0.07331393017844366,ok
case_ACTIVSg10k,10000,34434,10,10,10,10,90.57059320039116,27.16460920055397,0.2999274735945602,5.339765397366136,5.712937010684982,1.0698853948720133,95.9103585977573,32.87754621123895,0.34279452909904706,ok
