case,backend,n_bus,ybus_nnz,n_pv,n_pq,runs,ok_runs,converged_runs,initialize_mean_ms,initialize_median_ms,initialize_min_ms,initialize_max_ms,initialize_std_ms,solve_mean_ms,solve_median_ms,solve_min_ms,solve_max_ms,solve_std_ms,total_mean_ms,total_median_ms,final_mismatch_median,iterations_median,first_error
case16am,cudss,15,43,0,14,10,10,10,18.120131792966276,18.11665849527344,18.100712972227484,18.146358954254538,0.014566580016187238,0.6760544143617153,0.6745545251760632,0.6726310239173472,0.6850039935670793,0.0037984207905179543,18.79618620732799,18.792379996739328,4.200806369425436e-14,6.0,
case16am,custom,15,43,0,14,10,10,10,0.6785018020309508,0.6714634946547449,0.63024100381881,0.7918839692138135,0.04495717947619151,0.5942340125329792,0.5944744916632771,0.5858680233359337,0.602849991992116,0.005605372369813941,1.27273581456393,1.2685380061157048,2.853273173286652e-14,6.0,
case16ci,cudss,16,42,0,13,10,10,10,18.180573894642293,18.179376027546823,18.078661989420652,18.27459898777306,0.056714935311534966,0.42403399711474776,0.423403485910967,0.41622098069638014,0.43216004269197583,0.005023024965708897,18.60460789175704,18.59959401190281,9.602985073797754e-12,4.0,
case16ci,custom,16,42,0,13,10,10,10,0.6915102945640683,0.6988405075389892,0.6369740003719926,0.7357290014624596,0.02786184395020167,0.35457980120554566,0.35330752143636346,0.3488130168989301,0.36443397402763367,0.004812742490376754,1.046090095769614,1.0498129995539784,9.602985073797754e-12,4.0,
case17me,cudss,17,49,0,16,10,10,10,18.263909098459408,18.26257648644969,18.22609902592376,18.335113010834903,0.036228854642701536,0.6007815012708306,0.6007115298416466,0.5932019557803869,0.6066780188120902,0.004464571555300994,18.86469059973024,18.865942489355803,4.3511201586188264e-15,5.0,
case17me,custom,17,49,0,16,10,10,10,0.7081637042574584,0.7111484883353114,0.6679329671896994,0.7492239819839597,0.026065517623793232,0.522360292961821,0.5151905352249742,0.506669981405139,0.5723629728890955,0.019137534565030635,1.2305239972192794,1.232831971719861,4.401427139422154e-15,5.0,
case18,cudss,18,52,0,17,10,10,10,18.25702820206061,18.23801049613394,18.211329996120185,18.34403001703322,0.045605386202747865,0.6227133970241994,0.6168114778120071,0.6076190038584173,0.6616110331378877,0.016202948748535773,18.87974159908481,18.85284297168255,5.966394778784952e-14,5.0,
case18,custom,18,52,0,17,10,10,10,0.7058742921799421,0.7046154933050275,0.6606790120713413,0.7795619894750416,0.03791367246318405,0.5521240003872663,0.5528165202122182,0.5405229749158025,0.5622240132652223,0.0072588907610487505,1.2579982925672084,1.2568859965540469,5.96639477878495e-14,5.0,
case1888rte,cudss,1888,6504,272,1615,10,10,10,32.10164669435471,32.09386600065045,31.98090399382636,32.31640299782157,0.10543926784073568,1.2026246055029333,1.1975505040027201,1.1850909795612097,1.2407359899953008,0.01812682720057179,33.304271299857646,33.290358987869695,7.660279904326157e-12,3.0,
case1888rte,custom,1888,6504,272,1615,10,10,10,5.8083927957341075,5.7588660274632275,5.706558004021645,6.020044966135174,0.10557119023057611,1.0923640977125615,1.092674006940797,1.0864969808608294,1.097497995942831,0.003263729720061529,6.900756893446669,6.851159036159515,7.68080438880145e-12,3.0,
case18nbr,cudss,18,52,0,17,10,10,10,18.289428914431483,18.28456300427206,18.192044051829726,18.36246403399855,0.050186435239647824,0.5061928881332278,0.5037139926571399,0.4999569500796497,0.5215679993852973,0.006865178592781638,18.79562180256471,18.7882769969292,1.5324727164339746e-12,4.0,
case18nbr,custom,18,52,0,17,10,10,10,0.7291830086614937,0.7165885181166232,0.680976954754442,0.8525479934178293,0.05430387331187276,0.45877000666223466,0.45592503738589585,0.44592603808268905,0.4825150244869292,0.011733284112798045,1.1879530153237283,1.1687505175359547,1.5316177146007526e-12,4.0,
case1951rte,cudss,1951,6701,349,1601,10,10,10,32.497294299537316,32.47483499580994,32.33030898263678,32.732933992519975,0.11890013839129139,1.8820804136339575,1.8686834955587983,1.8491170485503972,1.9482120405882597,0.0327921537598218,34.37937471317127,34.36365650850348,1.1697930822120312e-11,4.0,
case1951rte,custom,1951,6701,349,1601,10,10,10,6.172084709396586,6.153426016680896,6.029292999301106,6.406770029570907,0.1024988300869373,1.4488099957816303,1.446746988222003,1.4360420173034072,1.4811669825576246,0.012629259868544278,7.620894705178216,7.600774493766949,1.1736217678754109e-11,4.0,
