case,backend,repeat,status,initialize_ms,solve_ms,total_ms,iterations,final_mismatch,converged,n_bus,ybus_nnz,n_pv,n_pq,error
case51he,custom,6,ok,0.775964988861233,0.5151859950274229,1.291150983888656,4,2.2809687224676207e-11,True,51,151,0,50,
case51he,cudss,7,ok,18.532212998252362,0.5611320375464857,19.093345035798848,4,2.252926742660181e-11,True,51,151,0,50,
case51he,custom,7,ok,0.8315389859490097,0.5227299989201128,1.3542689848691225,4,2.275098100829273e-11,True,51,151,0,50,
case51he,cudss,8,ok,18.48729798803106,0.5634760018438101,19.05077398987487,4,2.252926742660181e-11,True,51,151,0,50,
case51he,custom,8,ok,0.8344550151377916,0.5370259750634432,1.3714809902012348,4,2.2809687224676207e-11,True,51,151,0,50,
case51he,cudss,9,ok,18.48616497591138,0.5568640190176666,19.043028994929045,4,2.252926742660181e-11,True,51,151,0,50,
case51he,custom,9,ok,0.8332930156029761,0.5140330176800489,1.347326033283025,4,2.2809687224676207e-11,True,51,151,0,50,
case51he,cudss,10,ok,18.64229905186221,0.5534979864023626,19.195797038264573,4,2.252926742660181e-11,True,51,151,0,50,
case51he,custom,10,ok,0.8658639853820205,0.5229400121606886,1.3888039975427091,4,2.2809687224676207e-11,True,51,151,0,50,
case533mt_hi,cudss,1,ok,22.116731968708336,0.8039969834499061,22.920728952158242,4,1.2583982917772858e-11,True,533,1597,0,532,
case533mt_hi,custom,1,ok,1.5740400413051248,0.7080179639160633,2.282058005221188,4,1.2580561282925714e-11,True,533,1597,0,532,
case533mt_hi,cudss,2,ok,22.190721007063985,0.8210689993575215,23.011790006421506,4,1.2580493650250548e-11,True,533,1597,0,532,
case533mt_hi,custom,2,ok,1.6049279947765172,0.7107530254870653,2.3156810202635825,4,1.2587472185295044e-11,True,533,1597,0,532,
case533mt_hi,cudss,3,ok,22.122333000879735,0.7891390123404562,22.91147201322019,4,1.258384765242239e-11,True,533,1597,0,532,
case533mt_hi,custom,3,ok,1.5970240347087383,0.7098499918356538,2.306874026544392,4,1.2583915285097576e-11,True,533,1597,0,532,
case533mt_hi,cudss,4,ok,22.07137702498585,0.7956019835546613,22.86697900854051,4,1.258049365025052e-11,True,533,1597,0,532,
case533mt_hi,custom,4,ok,1.5429219929501414,0.7217230158858001,2.2646450088359416,4,1.2580493650250472e-11,True,533,1597,0,532,
case533mt_hi,cudss,5,ok,22.104869014583528,0.7995189516805112,22.90438796626404,4,1.2580561282925731e-11,True,533,1597,0,532,
case533mt_hi,custom,5,ok,1.776060031261295,0.7194289937615395,2.4954890250228345,4,1.2590961452817288e-11,True,533,1597,0,532,
case533mt_hi,cudss,6,ok,22.24471198860556,0.7981769740581512,23.04288896266371,4,1.2583982917772769e-11,True,533,1597,0,532,
