case_name,nd_label,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_baseline,cudss_analysis_ms_speedup_vs_baseline,cudss_setup_ms,cudss_setup_ms_ratio_vs_baseline,cudss_setup_ms_speedup_vs_baseline,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_baseline,cudss_factorization_ms_speedup_vs_baseline,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_baseline,cudss_refactorization_ms_speedup_vs_baseline,cudss_solve_ms,cudss_solve_ms_ratio_vs_baseline,cudss_solve_ms_speedup_vs_baseline,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_baseline,nr_analyze_linear_solve_ms_speedup_vs_baseline,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_baseline,nr_iteration_linear_solve_ms_speedup_vs_baseline
case1354_pegase,nd_10,10,14.6149,1.0034604689484705,0.9965514646011947,1.6315,1.014866882309032,0.9853509040760037,0.31,1.0934744268077603,0.914516129032258,0.1807,1.0322764924307342,0.968732706142778,0.12840000000000001,1.040012959663049,0.9615264797507788,16.249,1.004568750734153,0.9954520278170965,0.35904,1.0699725831445943,0.934603386809269
case1354_pegase,nd_11,10,14.9123,1.0238799821483744,0.9766769713592136,1.5855000000000001,0.9862527992037822,1.0139388205613369,0.2659,0.9379188712522047,1.0661902971041743,0.16244999999999998,0.9280205655526992,1.077562326869806,0.10744,0.8702413737242831,1.1491064780342517,16.5007,1.0201297055350507,0.9802675038028691,0.3055,0.9104184050542378,1.0983960720130932
case2746wop_k,auto,10,19.717200000000002,1.0,1.0,1.5989,1.0,1.0,0.3825,1.0,1.0,0.27450000000001,1.0,1.0,0.15265,1.0,1.0,21.319000000000003,1.0,1.0,0.47450000000000003,1.0,1.0
case2746wop_k,nd_8,10,17.9818,0.9119854746109994,1.0965086921220346,1.5852,0.9914316092313465,1.0086424425939944,0.3827,1.0005228758169935,0.9994773974392475,0.27476666666667,1.0009714632665208,0.9990294795584376,0.158925,1.0411071077628562,0.960515966650936,19.5697,0.9179464327595103,1.0893881868398596,0.482525,1.0169125395152792,0.9833687373711207
case2746wop_k,nd_9,10,18.8079,0.9538829042663257,1.0483467053738058,1.593,0.9963099630996309,1.0037037037037038,0.3832,1.0018300653594772,0.9981732776617954,0.27233333333334,0.992106860959308,1.0079559363525215,0.160675,1.0525712414018997,0.9500544577563405,20.4039,0.9570758478352642,1.0448492690122968,0.482125,1.0160695468914647,0.9841845994296086
case2746wop_k,nd_10,10,19.833,1.0058730448542388,0.9941612464075028,1.6775,1.0491587966727125,0.9531445603576751,0.418,1.0928104575163398,0.9150717703349283,0.28053333333332,1.0219793564055,0.9784933460076869,0.158975,1.0414346544382573,0.9602138701053625,21.5134,1.0091186265772314,0.9909637714168844,0.5097499999999999,1.0742887249736564,0.9308484551250615
case2746wop_k,nd_11,10,21.6422,1.0976304952021583,0.9110534049218657,1.6763,1.0484082806929764,0.9538268806299589,0.41859999999999997,1.09437908496732,0.9137601528905878,0.28753333333333,1.0474802671523478,0.9546719220960348,0.16355,1.0714051752374714,0.9333537144604097,23.3215,1.0939302969182418,0.914135025620136,0.5191,1.0939936775553214,0.9140820651126951
case4601_goc,auto,10,28.8927,1.0,1.0,1.6028,1.0,1.0,0.5543,1.0,1.0,0.45105,1.0,1.0,0.21496,1.0,1.0,30.4983,1.0,1.0,0.71252,1.0,1.0
case4601_goc,nd_8,10,25.3594,0.8777095944650378,1.1393290062067716,1.6421000000000001,1.0245195907162465,0.9760672309847146,0.5868,1.0586325094714053,0.9446148602590321,0.48105,1.0665114732291319,0.9376364203305271,0.21660000000000001,1.0076293263863045,0.9924284395198523,27.0043,0.8854362374296272,1.1293868013612647,0.74614,1.0471846404311458,0.9549414319028601
case4601_goc,nd_9,10,27.0138,0.9349697328390908,1.0695533394043044,1.6236,1.0129772897429499,0.9871889627987189,0.5601,1.0104636478441278,0.9896447063024459,0.4544,1.0074271145105864,0.9926276408450704,0.21714,1.0101414216598437,0.9899603942157135,28.6401,0.9390720138499523,1.0648810583761927,0.71974,1.0101330488968732,0.9899685997721399
