case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case9591_goc,true,true,31,4.87431308226147380e-04,7.11162286139560562e-03,3.66460259999999982e-02,1.10477666000000002e-01,1.47123692000000000e-01,false,10,1.026429475934e+09,9591,167,9423,/workspace/exp/20260413/iterative/pf_dumps/case9591_goc/cuda_mixed_edge/iter_000
case10000_goc,true,true,70,3.20670016615693363e-04,6.10356900238268052e-03,2.83090819999999993e-02,2.29140912000000002e-01,2.57449994000000015e-01,false,10,2.904257516796e+09,10000,1294,8705,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000
case10192_epigrids,false,false,1000,8.30783908975423287e+02,2.69113689516108425e+04,3.90915599999999974e-02,3.75995026899999996e+00,3.79904182900000009e+00,false,10,2.752269443945e+05,10189,190,9998,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000
case10480_goc,false,false,928,3.77816755356992062e-03,5.00569403895159415e-02,4.03798799999999999e-02,3.57202436700000003e+00,3.61240424700000018e+00,false,10,3.029886704861e+09,10480,338,10141,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000
case13659_pegase,false,false,1000,9.04177463574121703e+01,2.56397606518943940e+03,3.75779779999999980e-02,3.88669850000000006e+00,3.92427647799999990e+00,false,10,1.177225517264e+11,13659,4091,9567,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000
case19402_goc,true,true,58,5.26904404543616944e-04,1.73820485653373713e-02,8.06873399999999963e-02,4.13026696999999998e-01,4.93714036999999994e-01,false,10,4.389168873441e+08,19402,384,19017,/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000
case20758_epigrids,false,false,1000,1.34217657349081837e+04,7.18743583260107320e+05,7.31204540000000014e-02,7.70804546300000037e+00,7.78116591700000004e+00,false,10,1.075253924032e+03,20758,766,19991,/workspace/exp/20260413/iterative/pf_dumps/case20758_epigrids/cuda_mixed_edge/iter_000
case24464_goc,true,true,581,7.54762509477457477e-04,2.41724509857890180e-02,8.68392939999999974e-02,5.00604020799999994e+00,5.09287950199999973e+00,false,10,3.131950614855e+13,24464,682,23781,/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000
case30000_goc,true,true,106,3.34065864232311292e-04,2.24468955265894332e-02,7.83027780000000034e-02,1.04609025300000003e+00,1.12439303100000010e+00,false,10,1.328386150549e+01,30000,2277,27722,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000
case78484_epigrids,false,false,1000,6.33171774272055924e+07,2.15363882794626570e+09,3.11289052999999982e-01,3.00739906710000007e+01,3.03852797240000001e+01,false,10,1.108899578530e+14,78478,2038,76439,/workspace/exp/20260413/iterative/pf_dumps/case78484_epigrids/cuda_mixed_edge/iter_000
