source_mat,case,converted_dir,snapshot_dir,profile,status,converged,iterations,final_mismatch,snapshots,total_sec,n_bus,ybus_nnz,n_ref,n_pv,n_pq,returncode,error
/workspace/datasets/pf_dataset/pglib_opf_case4619_goc.mat,case4619_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4619_goc,/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,1.190209993063e-09,1,9.054679226000e+00,4619,19293,1,129,4489,0,
/workspace/datasets/pf_dataset/pglib_opf_case4661_sdet.mat,case4661_sdet,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4661_sdet,/workspace/exp/20260413/iterative/pf_dumps/case4661_sdet/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.035818863952e+04,1,9.029811724000e+00,4661,16163,1,630,4030,0,
/workspace/datasets/pf_dataset/pglib_opf_case4837_goc.mat,case4837_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4837_goc,/workspace/exp/20260413/iterative/pf_dumps/case4837_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,5.533659467606e+07,1,9.043204819000e+00,4837,18081,1,149,4687,0,
/workspace/datasets/pf_dataset/pglib_opf_case4917_goc.mat,case4917_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case4917_goc,/workspace/exp/20260413/iterative/pf_dumps/case4917_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,3.550286638140e+10,1,9.044741269000e+00,4917,17291,1,552,4364,0,
/workspace/datasets/pf_dataset/pglib_opf_case500_goc.mat,case500_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case500_goc,/workspace/exp/20260413/iterative/pf_dumps/case500_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,2.554613215887e+01,1,8.987685774000e+00,500,1800,1,112,387,0,
/workspace/datasets/pf_dataset/pglib_opf_case5658_epigrids.mat,case5658_epigrids,/workspace/exp/20260413/iterative/pf_cupf_dumps/case5658_epigrids,/workspace/exp/20260413/iterative/pf_dumps/case5658_epigrids/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,5.539486284691e-10,1,9.075728550000e+00,5658,21384,1,104,5553,0,
/workspace/datasets/pf_dataset/pglib_opf_case57_ieee.mat,case57_ieee,/workspace/exp/20260413/iterative/pf_cupf_dumps/case57_ieee,/workspace/exp/20260413/iterative/pf_dumps/case57_ieee/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,4.405632109128e-12,1,9.054868229000e+00,57,213,1,6,50,0,
/workspace/datasets/pf_dataset/pglib_opf_case588_sdet.mat,case588_sdet,/workspace/exp/20260413/iterative/pf_cupf_dumps/case588_sdet,/workspace/exp/20260413/iterative/pf_dumps/case588_sdet/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,5.156487433125e-12,1,9.005376047000e+00,588,1942,1,80,507,0,
/workspace/datasets/pf_dataset/pglib_opf_case5_pjm.mat,case5_pjm,/workspace/exp/20260413/iterative/pf_cupf_dumps/case5_pjm,/workspace/exp/20260413/iterative/pf_dumps/case5_pjm/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,4,3.695588279840e-11,1,9.078513737000e+00,5,17,1,3,1,0,
/workspace/datasets/pf_dataset/pglib_opf_case60_c.mat,case60_c,/workspace/exp/20260413/iterative/pf_cupf_dumps/case60_c,/workspace/exp/20260413/iterative/pf_dumps/case60_c/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,8.186456814788e-13,1,9.092745113000e+00,60,204,1,22,37,0,
/workspace/datasets/pf_dataset/pglib_opf_case6468_rte.mat,case6468_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case6468_rte,/workspace/exp/20260413/iterative/pf_dumps/case6468_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.883240657100e+09,1,9.233526393000e+00,6468,22598,1,290,6177,0,
/workspace/datasets/pf_dataset/pglib_opf_case6470_rte.mat,case6470_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case6470_rte,/workspace/exp/20260413/iterative/pf_dumps/case6470_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.316357372426e+09,1,9.116977270000e+00,6470,22602,1,452,6017,0,
/workspace/datasets/pf_dataset/pglib_opf_case6495_rte.mat,case6495_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case6495_rte,/workspace/exp/20260413/iterative/pf_dumps/case6495_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,4.853444320003e+10,1,9.095113647000e+00,6495,22663,1,492,6002,0,
/workspace/datasets/pf_dataset/pglib_opf_case6515_rte.mat,case6515_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case6515_rte,/workspace/exp/20260413/iterative/pf_dumps/case6515_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,9.283106943686e+08,1,9.236801479000e+00,6515,22723,1,492,6022,0,
/workspace/datasets/pf_dataset/pglib_opf_case7336_epigrids.mat,case7336_epigrids,/workspace/exp/20260413/iterative/pf_cupf_dumps/case7336_epigrids,/workspace/exp/20260413/iterative/pf_dumps/case7336_epigrids/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,1.571986985027e-11,1,9.256572866000e+00,7336,27174,1,239,7096,0,
/workspace/datasets/pf_dataset/pglib_opf_case73_ieee_rts.mat,case73_ieee_rts,/workspace/exp/20260413/iterative/pf_cupf_dumps/case73_ieee_rts,/workspace/exp/20260413/iterative/pf_dumps/case73_ieee_rts/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,1.077471445399e-13,1,9.128261095000e+00,73,289,1,32,40,0,
/workspace/datasets/pf_dataset/pglib_opf_case78484_epigrids.mat,case78484_epigrids,/workspace/exp/20260413/iterative/pf_cupf_dumps/case78484_epigrids,/workspace/exp/20260413/iterative/pf_dumps/case78484_epigrids/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.108899578530e+14,1,1.010977055700e+01,78478,294392,1,2038,76439,0,
/workspace/datasets/pf_dataset/pglib_opf_case793_goc.mat,case793_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case793_goc,/workspace/exp/20260413/iterative/pf_dumps/case793_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,2.639533557003e-12,1,9.087423441000e+00,793,2601,1,88,704,0,
/workspace/datasets/pf_dataset/pglib_opf_case8387_pegase.mat,case8387_pegase,/workspace/exp/20260413/iterative/pf_cupf_dumps/case8387_pegase,/workspace/exp/20260413/iterative/pf_dumps/case8387_pegase/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,7,2.014866495870e-09,1,9.124854695000e+00,8387,34377,1,1864,6522,0,
/workspace/datasets/pf_dataset/pglib_opf_case89_pegase.mat,case89_pegase,/workspace/exp/20260413/iterative/pf_cupf_dumps/case89_pegase,/workspace/exp/20260413/iterative/pf_dumps/case89_pegase/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,6.929104401365e-09,1,8.963132067000e+00,89,501,1,11,77,0,
/workspace/datasets/pf_dataset/pglib_opf_case9241_pegase.mat,case9241_pegase,/workspace/exp/20260413/iterative/pf_cupf_dumps/case9241_pegase,/workspace/exp/20260413/iterative/pf_dumps/case9241_pegase/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,8,5.490430332600e-10,1,9.075623206000e+00,9241,37655,1,1444,7796,0,
/workspace/datasets/pf_dataset/pglib_opf_case9591_goc.mat,case9591_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case9591_goc,/workspace/exp/20260413/iterative/pf_dumps/case9591_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.026429475934e+09,1,9.132096839000e+00,9591,37675,1,167,9423,0,
