case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,iterative_solve_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case60_c,true,true,1,2.12450494114709265e-09,4.79075848019983042e-08,9.43999999999999940e-06,true,6,8.186456814788e-13,60,22,37,/workspace/exp/20260413/iterative/pf_dumps/case60_c/cuda_mixed_edge/iter_000
case6468_rte,true,true,6,5.61362103957595866e-10,3.27560201185406186e-07,5.37532599999999972e-03,false,10,1.883240657100e+09,6468,290,6177,/workspace/exp/20260413/iterative/pf_dumps/case6468_rte/cuda_mixed_edge/iter_000
case6470_rte,true,true,7,1.09352129849313442e-10,6.38080223103187905e-08,6.20320199999999967e-03,false,10,1.316357372426e+09,6470,452,6017,/workspace/exp/20260413/iterative/pf_dumps/case6470_rte/cuda_mixed_edge/iter_000
case6495_rte,true,true,7,8.25165035604491871e-09,4.81491755799368093e-06,6.21944200000000037e-03,false,10,4.853444320003e+10,6495,492,6002,/workspace/exp/20260413/iterative/pf_dumps/case6495_rte/cuda_mixed_edge/iter_000
case6515_rte,true,true,6,1.08452073124019876e-09,6.32828305313637429e-07,5.35069600000000027e-03,false,10,9.283106943686e+08,6515,492,6022,/workspace/exp/20260413/iterative/pf_dumps/case6515_rte/cuda_mixed_edge/iter_000
case7336_epigrids,true,true,6,3.13966936253839594e-10,8.27083113108528778e-09,6.55643099999999972e-03,true,6,1.571986985027e-11,7336,239,7096,/workspace/exp/20260413/iterative/pf_dumps/case7336_epigrids/cuda_mixed_edge/iter_000
case73_ieee_rts,true,true,2,1.11437744788289305e-14,5.06261699229071382e-14,1.64399999999999985e-05,true,6,1.077471445399e-13,73,32,40,/workspace/exp/20260413/iterative/pf_dumps/case73_ieee_rts/cuda_mixed_edge/iter_000
case78484_epigrids,true,true,20,8.45300707152533669e-09,2.87516357833084157e-07,3.35941757999999979e-01,false,10,1.108899578530e+14,78478,2038,76439,/workspace/exp/20260413/iterative/pf_dumps/case78484_epigrids/cuda_mixed_edge/iter_000
case793_goc,true,true,3,1.00289579021036669e-09,6.61786875300052202e-09,2.82138999999999990e-04,true,6,2.639533557003e-12,793,88,704,/workspace/exp/20260413/iterative/pf_dumps/case793_goc/cuda_mixed_edge/iter_000
case8387_pegase,true,true,7,1.69336263995809586e-09,3.79400917438488250e-06,8.10262399999999924e-03,true,7,2.014866495870e-09,8387,1864,6522,/workspace/exp/20260413/iterative/pf_dumps/case8387_pegase/cuda_mixed_edge/iter_000
case89_pegase,true,true,3,2.77802778250646651e-12,3.74296149630026775e-11,4.00589999999999971e-05,true,5,6.929104401365e-09,89,11,77,/workspace/exp/20260413/iterative/pf_dumps/case89_pegase/cuda_mixed_edge/iter_000
case9241_pegase,true,true,6,3.15407124853576958e-09,9.01471821634913795e-08,8.22450299999999933e-03,true,8,5.490430332600e-10,9241,1444,7796,/workspace/exp/20260413/iterative/pf_dumps/case9241_pegase/cuda_mixed_edge/iter_000
case9591_goc,true,true,8,4.32092432857611824e-09,6.30422866132462900e-08,1.25095940000000006e-02,false,10,1.026429475934e+09,9591,167,9423,/workspace/exp/20260413/iterative/pf_dumps/case9591_goc/cuda_mixed_edge/iter_000
