case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case4020_goc,true,true,114,6.93998126202204971e-09,9.85789652130364402e-08,3.91857799999999982e-03,6.30898649999999950e-02,6.70084430000000009e-02,false,10,1.359389906036e+01,4020,88,3931,/workspace/exp/20260413/iterative/pf_dumps/case4020_goc/cuda_mixed_edge/iter_000
case4601_goc,true,true,121,7.01146686650969600e-09,1.10830257882276956e-07,3.90818699999999960e-03,7.51759969999999944e-02,7.90841839999999879e-02,true,6,2.846984870075e-10,4601,132,4468,/workspace/exp/20260413/iterative/pf_dumps/case4601_goc/cuda_mixed_edge/iter_000
case4619_goc,true,true,136,4.53727607833257778e-09,1.14975796754873683e-07,5.01278700000000032e-03,9.03269250000000024e-02,9.53397120000000070e-02,true,6,1.190209993063e-09,4619,129,4489,/workspace/exp/20260413/iterative/pf_dumps/case4619_goc/cuda_mixed_edge/iter_000
case4661_sdet,true,true,233,9.17930069346358132e-09,3.76756956709720928e-07,3.45725799999999995e-03,1.36132072999999992e-01,1.39589330999999983e-01,false,10,1.035818863952e+04,4661,630,4030,/workspace/exp/20260413/iterative/pf_dumps/case4661_sdet/cuda_mixed_edge/iter_000
case4837_goc,true,true,181,7.55149213222456342e-09,1.35926858380042148e-07,4.06687699999999999e-03,1.15610257999999994e-01,1.19677134999999990e-01,false,10,5.533659467606e+07,4837,149,4687,/workspace/exp/20260413/iterative/pf_dumps/case4837_goc/cuda_mixed_edge/iter_000
case4917_goc,true,true,287,1.91902538701422673e-09,4.60403870583547814e-08,4.05241700000000000e-03,1.88601386000000010e-01,1.92653803000000012e-01,false,10,3.550286638140e+10,4917,552,4364,/workspace/exp/20260413/iterative/pf_dumps/case4917_goc/cuda_mixed_edge/iter_000
case500_goc,true,true,50,6.82146948667741196e-09,1.68687456003624447e-07,4.20179999999999978e-04,1.82027800000000004e-03,2.24045799999999986e-03,false,10,2.554613215887e+01,500,112,387,/workspace/exp/20260413/iterative/pf_dumps/case500_goc/cuda_mixed_edge/iter_000
case5658_epigrids,true,true,167,7.94773389645823163e-09,2.12109120045766986e-07,5.09582699999999982e-03,1.32415824999999987e-01,1.37511651999999984e-01,true,5,5.539486284691e-10,5658,104,5553,/workspace/exp/20260413/iterative/pf_dumps/case5658_epigrids/cuda_mixed_edge/iter_000
case57_ieee,true,true,18,3.76639916478587855e-09,1.61766847001088010e-08,4.49400000000000000e-05,7.17799999999999938e-05,1.16719999999999994e-04,true,5,4.405632109128e-12,57,6,50,/workspace/exp/20260413/iterative/pf_dumps/case57_ieee/cuda_mixed_edge/iter_000
case588_sdet,true,true,93,7.39221419668420572e-09,1.11956264703394481e-07,3.90139000000000013e-04,3.75581800000000018e-03,4.14595700000000046e-03,true,6,5.156487433125e-12,588,80,507,/workspace/exp/20260413/iterative/pf_dumps/case588_sdet/cuda_mixed_edge/iter_000
case5_pjm,true,true,3,5.92118946466750122e-16,1.77635683940025046e-15,1.37000000000000001e-06,2.04999999999999985e-06,3.41999999999999987e-06,true,4,3.695588279840e-11,5,3,1,/workspace/exp/20260413/iterative/pf_dumps/case5_pjm/cuda_mixed_edge/iter_000
case60_c,true,true,30,1.63691497040414918e-09,3.69124313337465537e-08,4.69999999999999972e-05,1.03569999999999999e-04,1.50569999999999990e-04,true,6,8.186456814788e-13,60,22,37,/workspace/exp/20260413/iterative/pf_dumps/case60_c/cuda_mixed_edge/iter_000
case6468_rte,false,false,1000,1.41064059064415392e+00,8.23122388230544061e+02,6.06527599999999965e-03,8.72017620000000049e-01,8.78082896000000002e-01,false,10,1.883240657100e+09,6468,290,6177,/workspace/exp/20260413/iterative/pf_dumps/case6468_rte/cuda_mixed_edge/iter_000
case6470_rte,false,false,1000,3.99319480068894883e+00,2.33006767479443988e+03,6.02539599999999970e-03,8.64482195000000009e-01,8.70507590999999969e-01,false,10,1.316357372426e+09,6470,452,6017,/workspace/exp/20260413/iterative/pf_dumps/case6470_rte/cuda_mixed_edge/iter_000
case6495_rte,false,false,1000,4.17800687624714673e+00,2.43790730312800588e+03,5.89748500000000005e-03,8.61686186999999992e-01,8.67583671999999972e-01,false,10,4.853444320003e+10,6495,492,6002,/workspace/exp/20260413/iterative/pf_dumps/case6495_rte/cuda_mixed_edge/iter_000
case6515_rte,false,false,1000,6.27990203053918616e+00,3.66438339539827894e+03,5.89425599999999963e-03,8.63770744999999951e-01,8.69665000999999993e-01,false,10,9.283106943686e+08,6515,492,6022,/workspace/exp/20260413/iterative/pf_dumps/case6515_rte/cuda_mixed_edge/iter_000
case7336_epigrids,true,true,254,5.56012905419517843e-09,1.46470481965366162e-07,6.31925500000000018e-03,2.57417237000000021e-01,2.63736492000000045e-01,true,6,1.571986985027e-11,7336,239,7096,/workspace/exp/20260413/iterative/pf_dumps/case7336_epigrids/cuda_mixed_edge/iter_000
case73_ieee_rts,true,true,19,4.29488614899942068e-09,1.95116687251584153e-08,4.84999999999999998e-05,8.49199999999999933e-05,1.33419999999999980e-04,true,6,1.077471445399e-13,73,32,40,/workspace/exp/20260413/iterative/pf_dumps/case73_ieee_rts/cuda_mixed_edge/iter_000
case78484_epigrids,false,false,1000,1.28529691707064604e-05,4.37174469633514612e-04,1.06216214000000003e-01,1.13965362989999992e+01,1.15027525129999990e+01,false,10,1.108899578530e+14,78478,2038,76439,/workspace/exp/20260413/iterative/pf_dumps/case78484_epigrids/cuda_mixed_edge/iter_000
case793_goc,true,true,128,8.40057531493771441e-09,5.54333814406504644e-08,5.35450000000000032e-04,9.52898299999999955e-03,1.00644329999999994e-02,true,6,2.639533557003e-12,793,88,704,/workspace/exp/20260413/iterative/pf_dumps/case793_goc/cuda_mixed_edge/iter_000
case8387_pegase,true,true,417,8.57780480066740052e-09,1.92187245318109490e-05,9.35784400000000058e-03,4.78118790000000016e-01,4.87476634000000020e-01,true,7,2.014866495870e-09,8387,1864,6522,/workspace/exp/20260413/iterative/pf_dumps/case8387_pegase/cuda_mixed_edge/iter_000
case89_pegase,true,true,23,5.86717654641651683e-09,7.90511025250406618e-08,1.81549999999999995e-04,1.97820000000000000e-04,3.79369999999999968e-04,true,5,6.929104401365e-09,89,11,77,/workspace/exp/20260413/iterative/pf_dumps/case89_pegase/cuda_mixed_edge/iter_000
case9241_pegase,false,false,1000,3.21470676548128460e-03,9.18802187885208177e-02,1.08812030000000007e-02,1.31497884499999995e+00,1.32586004800000001e+00,true,8,5.490430332600e-10,9241,1444,7796,/workspace/exp/20260413/iterative/pf_dumps/case9241_pegase/cuda_mixed_edge/iter_000
case9591_goc,true,true,151,8.99436265804891566e-09,1.31227752553364496e-07,9.05101399999999959e-03,2.11805109999999991e-01,2.20856123999999987e-01,false,10,1.026429475934e+09,9591,167,9423,/workspace/exp/20260413/iterative/pf_dumps/case9591_goc/cuda_mixed_edge/iter_000
