case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case57_ieee,true,true,5,9.39790866225100681e-04,4.03640184213716058e-03,9.87700000000000047e-05,2.98599999999999987e-05,1.28629999999999993e-04,true,5,4.405632109128e-12,57,6,50,/workspace/exp/20260413/iterative/pf_dumps/case57_ieee/cuda_mixed_edge/iter_000
case588_sdet,true,true,40,6.76859509163207831e-04,1.02511453752079373e-02,8.79630999999999968e-04,2.01629000000000001e-03,2.89592100000000009e-03,true,6,5.156487433125e-12,588,80,507,/workspace/exp/20260413/iterative/pf_dumps/case588_sdet/cuda_mixed_edge/iter_000
case5_pjm,true,true,2,4.44089209850062616e-16,1.33226762955018785e-15,2.02000000000000014e-06,1.76000000000000009e-06,3.78000000000000023e-06,true,4,3.695588279840e-11,5,3,1,/workspace/exp/20260413/iterative/pf_dumps/case5_pjm/cuda_mixed_edge/iter_000
case60_c,true,true,16,9.60237673122101422e-04,2.16533587963001831e-02,9.23999999999999962e-05,6.87899999999999970e-05,1.61189999999999993e-04,true,6,8.186456814788e-13,60,22,37,/workspace/exp/20260413/iterative/pf_dumps/case60_c/cuda_mixed_edge/iter_000
case6468_rte,false,false,1000,8.56594952513054064e-01,4.99831415411636669e+02,1.70121049999999996e-02,1.25802554300000002e+00,1.27503764800000008e+00,false,10,1.883240657100e+09,6468,290,6177,/workspace/exp/20260413/iterative/pf_dumps/case6468_rte/cuda_mixed_edge/iter_000
case6470_rte,false,false,1000,8.44488682986729411e-01,4.92767290395553971e+02,1.66265150000000014e-02,1.22692378299999993e+00,1.24355029799999994e+00,false,10,1.316357372426e+09,6470,452,6017,/workspace/exp/20260413/iterative/pf_dumps/case6470_rte/cuda_mixed_edge/iter_000
case6495_rte,false,false,1000,3.83664456220206562e-01,2.23871910093655742e+02,1.65252440000000014e-02,1.22394074999999991e+00,1.24046599400000002e+00,false,10,4.853444320003e+10,6495,492,6002,/workspace/exp/20260413/iterative/pf_dumps/case6495_rte/cuda_mixed_edge/iter_000
case6515_rte,false,false,1000,1.11402462261662438e+00,6.50044110454171800e+02,1.66007050000000003e-02,1.23143698900000009e+00,1.24803769400000020e+00,false,10,9.283106943686e+08,6515,492,6022,/workspace/exp/20260413/iterative/pf_dumps/case6515_rte/cuda_mixed_edge/iter_000
case7336_epigrids,true,true,65,7.43982722438791318e-04,1.95987371637165175e-02,1.52484549999999993e-02,8.65261150000000007e-02,1.01774569999999995e-01,true,6,1.571986985027e-11,7336,239,7096,/workspace/exp/20260413/iterative/pf_dumps/case7336_epigrids/cuda_mixed_edge/iter_000
case73_ieee_rts,true,true,8,1.12991854746333502e-04,5.13322021112316840e-04,8.88800000000000028e-05,4.19199999999999984e-05,1.30800000000000008e-04,true,6,1.077471445399e-13,73,32,40,/workspace/exp/20260413/iterative/pf_dumps/case73_ieee_rts/cuda_mixed_edge/iter_000
case78484_epigrids,true,true,362,7.25469076583849575e-04,2.46757425913616824e-02,1.97847667000000005e-01,8.19950596800000042e+00,8.39735363499999998e+00,false,10,1.108899578530e+14,78478,2038,76439,/workspace/exp/20260413/iterative/pf_dumps/case78484_epigrids/cuda_mixed_edge/iter_000
case793_goc,true,true,52,9.05486373529772052e-04,5.97508737811480728e-03,1.25840000000000001e-03,4.44355099999999958e-03,5.70195099999999937e-03,true,6,2.639533557003e-12,793,88,704,/workspace/exp/20260413/iterative/pf_dumps/case793_goc/cuda_mixed_edge/iter_000
case8387_pegase,true,true,80,7.61258628394757678e-04,1.70561352427193924e+00,2.53844670000000008e-02,1.22636564000000003e-01,1.48021030999999997e-01,true,7,2.014866495870e-09,8387,1864,6522,/workspace/exp/20260413/iterative/pf_dumps/case8387_pegase/cuda_mixed_edge/iter_000
case89_pegase,true,true,7,8.28021630064079543e-04,1.11563069993394492e-02,5.85801000000000052e-04,1.07899999999999994e-04,6.93701000000000018e-04,true,5,6.929104401365e-09,89,11,77,/workspace/exp/20260413/iterative/pf_dumps/case89_pegase/cuda_mixed_edge/iter_000
case9241_pegase,false,false,1000,1.55096420205962753e-02,4.43284382104653929e-01,2.92174780000000016e-02,1.80254337400000009e+00,1.83176085200000016e+00,true,8,5.490430332600e-10,9241,1444,7796,/workspace/exp/20260413/iterative/pf_dumps/case9241_pegase/cuda_mixed_edge/iter_000
case9591_goc,true,true,64,9.96252739413613442e-04,1.45353276200607257e-02,2.43768159999999991e-02,1.27436665000000005e-01,1.51813481000000000e-01,false,10,1.026429475934e+09,9591,167,9423,/workspace/exp/20260413/iterative/pf_dumps/case9591_goc/cuda_mixed_edge/iter_000
