case	solver	precision	B	analyze_ms	factor_per_sys_ms	solve_per_sys_ms	relres	n	nnz
case13659pegase	cuDSS_ubatch_mtauto	fp32	1	37.4555	0.658688	0.270975	0.000112252	23225	174703
case13659pegase	custom	fp32	1	39.2054	0.396369	0.272479	0.000110783	23225	174703
case13659pegase	custom	fp16	1	39.662	0.490023	0.256558	0.0502892	23225	174703
case13659pegase	custom	tf32	1	40.0255	0.481769	0.264534	0.0113977	23225	174703
case13659pegase	cuDSS_ubatch_mtauto	fp32	4	41.454	0.329317	0.135966	0.000116178	23225	174703
case13659pegase	custom	fp32	4	39.7792	0.124437	0.0935145	0.000120041	23225	174703
case13659pegase	custom	fp16	4	39.7929	0.148307	0.0950673	0.05837	23225	174703
case13659pegase	custom	tf32	4	39.6565	0.155588	0.105807	0.0112	23225	174703
case13659pegase	cuDSS_ubatch_mtauto	fp32	32	37.0434	0.232958	0.096149	0.000119447	23225	174703
case13659pegase	custom	fp32	32	39.197	0.0462353	0.040262	0.000116407	23225	174703
case13659pegase	custom	fp16	32	39.6065	0.0480408	0.0342207	0.242312	23225	174703
case13659pegase	custom	tf32	32	39.4824	0.0476038	0.0366988	0.0114643	23225	174703
case13659pegase	cuDSS_ubatch_mtauto	fp32	64	37.0564	0.225675	0.0932251	0.000118617	23225	174703
case13659pegase	custom	fp32	64	39.5641	0.0418692	0.0313669	0.000117603	23225	174703
case13659pegase	custom	fp16	64	39.7416	0.0436398	0.0316533	0.185908	23225	174703
case13659pegase	custom	tf32	64	40.0364	0.0422751	0.0302984	0.0109281	23225	174703
case13659pegase	cuDSS_ubatch_mtauto	fp32	256	46.1332	0.220364	0.0911055	0.000121164	23225	174703
case13659pegase	custom	fp32	256	39.4499	0.0409879	0.0294716	0.000126031	23225	174703
case13659pegase	custom	fp16	256	39.8482	0.0438705	0.0327484	0.0294694	23225	174703
case13659pegase	custom	tf32	256	39.8445	0.0374669	0.0283333	0.00995226	23225	174703
case_ACTIVSg25k	cuDSS_ubatch_mtauto	fp32	1	57.047	1.09514	0.45034	0.000141686	47246	318672
case_ACTIVSg25k	custom	fp32	1	55.6049	0.813036	0.498891	0.000203832	47246	318672
case_ACTIVSg25k	custom	fp16	1	57.9228	0.816202	0.534637	0.0133519	47246	318672
case_ACTIVSg25k	custom	tf32	1	56.3062	0.808227	0.527594	0.0737452	47246	318672
case_ACTIVSg25k	cuDSS_ubatch_mtauto	fp32	4	56.6782	0.666776	0.238255	0.000147116	47246	318672
case_ACTIVSg25k	custom	fp32	4	56.6637	0.260201	0.167395	0.00016035	47246	318672
case_ACTIVSg25k	custom	fp16	4	56.9502	0.277122	0.173444	0.0194377	47246	318672
case_ACTIVSg25k	custom	tf32	4	55.8857	0.251451	0.1689	0.0541026	47246	318672
case_ACTIVSg25k	cuDSS_ubatch_mtauto	fp32	32	60.3925	0.544888	0.186043	0.000179272	47246	318672
case_ACTIVSg25k	custom	fp32	32	56.5284	0.114745	0.063015	0.0001585	47246	318672
case_ACTIVSg25k	custom	fp16	32	56.4	0.116646	0.0660617	0.0177398	47246	318672
case_ACTIVSg25k	custom	tf32	32	56.4375	0.108323	0.064092	0.048594	47246	318672
case_ACTIVSg25k	cuDSS_ubatch_mtauto	fp32	64	95.7733	0.536394	0.18131	0.000178086	47246	318672
case_ACTIVSg25k	custom	fp32	64	57.234	0.114197	0.0589039	0.000218296	47246	318672
case_ACTIVSg25k	custom	fp16	64	56.2058	0.118413	0.0591015	0.0135975	47246	318672
case_ACTIVSg25k	custom	tf32	64	56.4774	0.10222	0.0569464	0.0503718	47246	318672
case_ACTIVSg25k	cuDSS_ubatch_mtauto	fp32	256	59.1876	0.529177	0.177916	0.000184909	47246	318672
case_ACTIVSg25k	custom	fp32	256	56.5044	0.105363	0.0543277	0.000332828	47246	318672
case_ACTIVSg25k	custom	fp16	256	56.0727	0.114503	0.0520251	0.0482072	47246	318672
case_ACTIVSg25k	custom	tf32	256	57.0907	0.102433	0.0523231	0.0516091	47246	318672
case_ACTIVSg70k	cuDSS_ubatch_mtauto	fp32	1	127.318	2.5582	0.866296	0.00115056	134104	900558
case_ACTIVSg70k	custom	fp32	1	155.29	2.79577	0.891432	0.0033895	134104	900558
case_ACTIVSg70k	custom	fp16	1	155.605	2.07284	0.913854	0.0757948	134104	900558
