measurement_mode,case_name,mt_label,elapsed_ms_mean,analyze_ms_mean,solve_ms_mean,elapsed_ratio_vs_no_mt,elapsed_speedup_vs_no_mt,analyze_ratio_vs_no_mt,solve_ratio_vs_no_mt,runs,success_all
operators,case30_ieee,mt_16,11.197099999999999,10.426400000000001,0.7703,0.993390468079066,1.006653508497736,0.999463190184049,0.9181168057210966,10,True
operators,case30_ieee,mt_32,11.7841,11.0389,0.7447,1.0454682565030697,0.9565091945927139,1.0581767638036808,0.8876042908224077,10,True
operators,case118_ieee,no_mt,11.7965,10.8504,0.9454,1.0,1.0,1.0,1.0,10,True
operators,case118_ieee,mt_auto,11.6666,10.805,0.8609,0.9889882592294326,1.011134349339139,0.9958158224581583,0.9106198434525068,10,True
operators,case118_ieee,mt_1,11.5511,10.6932,0.8574,0.9791972195142628,1.02124472993914,0.9855120548551206,0.9069177067907764,10,True
operators,case118_ieee,mt_2,11.5881,10.7279,0.86,0.982333743059382,1.0179839663102666,0.988710093637101,0.9096678654537762,10,True
operators,case118_ieee,mt_4,11.5606,10.6972,0.8630000000000001,0.9800025431271988,1.0204055152846738,0.9858807048588071,0.9128411254495452,10,True
operators,case118_ieee,mt_8,11.517100000000001,10.665799999999999,0.8508,0.976315008689018,1.0242595792343558,0.982986802329868,0.8999365348000846,10,True
operators,case118_ieee,mt_16,11.6287,10.7761,0.852,0.9857754418683509,1.0144298158865566,0.9931523261815233,0.9012058387983922,10,True
operators,case118_ieee,mt_32,11.6608,10.796800000000001,0.8635,0.9884965879710085,1.0116372804610319,0.995060089950601,0.9133700021155067,10,True
operators,case793_goc,no_mt,15.939700000000002,14.249099999999999,1.6900000000000002,1.0,1.0,1.0,1.0,10,True
operators,case793_goc,mt_auto,23.451200000000004,21.8963,1.5546,1.4712447536653763,0.6796965613699939,1.5366795095830614,0.9198816568047337,10,True
operators,case793_goc,mt_1,15.518699999999999,14.0398,1.4785,0.9735879596228285,1.0271285610263747,0.9853113529977332,0.8748520710059171,10,True
operators,case793_goc,mt_2,15.904000000000002,14.2278,1.6758000000000002,0.9977603091651662,1.002244718309859,0.9985051687475,0.9915976331360946,10,True
operators,case793_goc,mt_4,15.4656,13.709900000000001,1.7551,0.9702566547676555,1.0306551313883716,0.9621590135517332,1.0385207100591716,10,True
operators,case793_goc,mt_8,14.848099999999999,13.344999999999999,1.5027000000000001,0.9315169043332057,1.0735178238293117,0.9365503786204041,0.889171597633136,10,True
operators,case793_goc,mt_16,14.5685,13.1087,1.4591,0.9139757962822386,1.0941208772351307,0.9199668751008837,0.8633727810650887,10,True
operators,case793_goc,mt_32,19.2555,17.677,1.578,1.2080214809563543,0.8277998493936797,1.2405695798331122,0.9337278106508875,10,True
operators,case1354_pegase,no_mt,19.3955,17.0385,2.3564,1.0,1.0,1.0,1.0,10,True
operators,case1354_pegase,mt_auto,16.7726,14.6516,2.1207000000000003,0.8647676007321287,1.1563800484122913,0.8599113771752209,0.899974537429978,10,True
operators,case1354_pegase,mt_1,18.9847,16.8596,2.1243,0.9788198293418576,1.0216384773001417,0.989500249435103,0.901502291631302,10,True
operators,case1354_pegase,mt_2,17.7976,15.677300000000002,2.1197,0.9176149106751567,1.089781768328314,0.9201103383513809,0.8995501612629435,10,True
operators,case1354_pegase,mt_4,17.6071,15.4854,2.1214,0.907793044778428,1.1015726610287895,0.9088476098248086,0.900271600746902,10,True
operators,case1354_pegase,mt_8,17.1246,15.0202,2.1041000000000003,0.8829161403418319,1.1326103967391938,0.8815447369193299,0.892929893057206,10,True
operators,case1354_pegase,mt_16,16.9158,14.7893,2.1264000000000003,0.8721507566188035,1.146590761300086,0.8679930745077326,0.9023934815820744,10,True
operators,case1354_pegase,mt_32,17.1035,14.992500000000001,2.1106,0.881828259132273,1.1340076592510304,0.8799190069548377,0.8956883381429299,10,True
operators,case2746wop_k,no_mt,25.3006,22.655,2.6449,1.0,1.0,1.0,1.0,10,True
operators,case2746wop_k,mt_auto,24.7487,22.3682,2.38,0.9781862880722196,1.0223001612205893,0.9873405429265063,0.8998449846875117,10,True
operators,case2746wop_k,mt_1,24.7537,22.4177,2.3354,0.9783839118439879,1.0220936668053664,0.9895254910615757,0.8829823433778216,10,True
operators,case2746wop_k,mt_2,21.6917,19.3608,2.3302,0.8573591140131065,1.1663723912833017,0.8545928051202825,0.8810162955121177,10,True
operators,case2746wop_k,mt_4,22.9407,19.772399999999998,3.1679,0.9067255322008174,1.1028695724193245,0.8727609799161332,1.1977390449544407,10,True
operators,case2746wop_k,mt_8,20.2408,17.9169,2.3233,0.8000126479213931,1.2499802379352594,0.7908585301258,0.8784075012287799,10,True
operators,case2746wop_k,mt_16,19.970299999999998,17.578799999999998,2.391,0.7893212018687304,1.2669113633746112,0.7759346722577797,0.9040039320957314,10,True
operators,case2746wop_k,mt_32,20.7504,18.3125,2.4375,0.820154462740014,1.219282519855039,0.8083204590598101,0.9215849370486597,10,True
operators,case4601_goc,no_mt,36.5126,32.262699999999995,4.249499999999999,1.0,1.0,1.0,1.0,10,True
operators,case4601_goc,mt_auto,26.5539,22.3505,4.203,0.7272530578485235,1.3750371885109156,0.6927659495330521,0.9890575361807272,10,True
operators,case4601_goc,mt_1,36.499500000000005,32.2436,4.2556,0.9996412197433217,1.0003589090261509,0.999407985072545,1.0014354629956466,10,True
operators,case4601_goc,mt_2,30.275299999999998,26.0441,4.2311,0.8291740385510755,1.2060194283789096,0.807251098017215,0.9956700788328039,10,True
operators,case4601_goc,mt_4,29.0747,24.8397,4.2344,0.7962922388435772,1.2558203524026044,0.7699200624870206,0.9964466407812684,10,True
operators,case4601_goc,mt_8,27.4102,23.2013,4.2087,0.750705236000723,1.3320807582578749,0.7191369600188454,0.9903988704553478,10,True
operators,case4601_goc,mt_16,26.6602,22.4053,4.2544,0.7301643816107316,1.3695546169946213,0.6944645054505668,1.0011530768325687,10,True
operators,case4601_goc,mt_32,26.5194,22.297,4.2217,0.726308178546584,1.376826021704865,0.6911076878252596,0.9934580538886929,10,True
operators,case8387_pegase,no_mt,55.7866,48.589600000000004,7.196400000000001,1.0,1.0,1.0,1.0,10,True
operators,case8387_pegase,mt_auto,40.2522,34.164300000000004,6.0872,0.7215388641716829,1.3859267319550235,0.7031195976093649,0.8458673781335112,10,True
operators,case8387_pegase,mt_1,53.942299999999996,47.792500000000004,6.1493,0.9669400895555563,1.0341902366046682,0.9835952549516769,0.8544966927908398,10,True
operators,case8387_pegase,mt_2,46.1353,40.004,6.1308,0.826996088666454,1.2091955617498964,0.8233037522432783,0.8519259629814907,10,True
operators,case8387_pegase,mt_4,41.507799999999996,35.369499999999995,6.137499999999999,0.744046061240513,1.3440028139289484,0.7279232592982859,0.8528569840475793,10,True
operators,case8387_pegase,mt_8,38.8019,32.6905,6.111,0.6955415816701502,1.4377285648383198,0.6727880040173205,0.8491745872936468,10,True
operators,case8387_pegase,mt_16,36.8043,30.622799999999998,6.180899999999999,0.6597336994905586,1.5157631037677664,0.6302336302418624,0.8588877772219442,10,True
operators,case8387_pegase,mt_32,36.8287,30.669700000000002,6.158399999999999,0.6601710805103734,1.5147588701203138,0.631198857368655,0.8557612139403034,10,True
operators,case9241_pegase,no_mt,59.399,52.153000000000006,7.2455,1.0,1.0,1.0,1.0,10,True
operators,case9241_pegase,mt_auto,40.1213,32.856500000000004,7.2642999999999995,0.6754541322244482,1.4804854279397728,0.6300021091787625,1.002594713960389,10,True
operators,case9241_pegase,mt_1,59.4901,52.1444,7.345400000000001,1.0015336958534655,0.9984686527674353,0.9998351005694782,1.0137878683320682,10,True
operators,case9241_pegase,mt_2,49.5223,42.257999999999996,7.2638,0.8337227899459586,1.1994394444522973,0.8102697831380744,1.002525705610379,10,True
operators,case9241_pegase,mt_4,44.821600000000004,37.496700000000004,7.3244,0.754585094025152,1.3252315847716278,0.7189749391214312,1.0108895176316335,10,True
operators,case9241_pegase,mt_8,42.312000000000005,34.9765,7.3347999999999995,0.712335224498729,1.4038334278691624,0.6706517362376085,1.0123248913118488,10,True
operators,case9241_pegase,mt_16,40.3518,33.06380000000001,7.2876,0.6793346689338204,1.472028509261049,0.6339769524284318,1.0058105030708715,10,True
operators,case9241_pegase,mt_32,43.1149,35.8322,7.2823,0.72585228707554,1.3776907751148675,0.687059229574521,1.0050790145607618,10,True
