case_name,mt_label,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_no_mt,cudss_analysis_ms_speedup_vs_no_mt,cudss_setup_ms,cudss_setup_ms_ratio_vs_no_mt,cudss_setup_ms_speedup_vs_no_mt,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_no_mt,cudss_factorization_ms_speedup_vs_no_mt,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_no_mt,cudss_refactorization_ms_speedup_vs_no_mt,cudss_solve_ms,cudss_solve_ms_ratio_vs_no_mt,cudss_solve_ms_speedup_vs_no_mt,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_no_mt,nr_analyze_linear_solve_ms_speedup_vs_no_mt,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_no_mt,nr_iteration_linear_solve_ms_speedup_vs_no_mt
case793_goc,mt_4,10,11.5223,0.9558187956764469,1.0462234102566328,1.6249,0.9768546350847661,1.0236937657702012,0.2474,0.9955734406438632,1.0044462409054162,0.119575,1.003707330721824,0.9963063628127953,0.08948,0.9953281423804227,1.0046937863209655,13.1501,0.9583852606569444,1.0434217230287222,0.25378,0.9949035596675554,1.005122547088029
case793_goc,mt_8,10,11.2419,0.9325585446581888,1.0723187361566995,1.5793,0.9494409041721774,1.0532514405116191,0.21810000000000002,0.8776659959758552,1.1393856029344336,0.11395833333333,0.9565612758812838,1.0454113345521916,0.083995,0.9343159065628476,1.0703018036787906,12.8241,0.9346262325906814,1.069946428989169,0.23333500000000001,0.914752234593069,1.0931921914843463
case793_goc,mt_16,10,11.0267,0.9147068826784129,1.0932463928464544,1.5516999999999999,0.9328483828303474,1.0719855642198879,0.2206,0.8877263581488933,1.1264732547597462,0.11419166666667,0.9585198656966727,1.0432751952127552,0.0844,0.9388209121245829,1.0651658767772512,12.5813,0.916930858313109,1.0905947716054778,0.235935,0.9249451152579584,1.0811452306779408
case793_goc,mt_32,10,15.5591,1.29068677467254,0.7747813176854702,1.5856,0.953228327521943,1.049066599394551,0.2249,0.9050301810865191,1.104935526900845,0.114275,0.9592193620592636,1.0425144023919493,0.0847,0.9421579532814237,1.0613931523022433,17.1476,1.2497248762854292,0.800176117940703,0.23508,0.9215932256546967,1.0850774204526117
case1354_pegase,no_mt,10,14.6405,1.0,1.0,1.6484,1.0,1.0,0.3136,1.0,1.0,0.180375,1.0,1.0,0.12892,1.0,1.0,16.291800000000002,1.0,1.0,0.35962,1.0,1.0
case1354_pegase,mt_auto,10,12.300699999999999,0.8401830538574502,1.1902168169291178,1.5935000000000001,0.966694976947343,1.0344524631314715,0.2815,0.8976403061224489,1.1140319715808171,0.177925,0.9864171864171863,1.0137698468455811,0.12316,0.9553211293825629,1.0467684313088665,13.8968,0.85299353048773,1.1723418340913017,0.33754,0.9386018575162672,1.0654144693962198
case1354_pegase,mt_1,10,14.5796,0.9958403060004781,1.0041770693297485,1.6031,0.9725188061150205,1.0282577506081967,0.2824,0.9005102040816326,1.1104815864022664,0.175,0.9702009702009701,1.030714285714286,0.1236,0.9587340986658393,1.043042071197411,16.1857,0.9934875213297486,1.0065551690689931,0.33608,0.9345420165730494,1.0700428469412044
case1354_pegase,mt_2,10,13.3905,0.9146204023086644,1.0933497628916022,1.6007,0.9710628488231011,1.0297994627350535,0.2794,0.8909438775510203,1.122405153901217,0.178075,0.9872487872487873,1.0129159062192896,0.12288,0.9531492398386596,1.0491536458333333,14.9939,0.9203341558329956,1.0865618684931875,0.33724,0.9377676436238251,1.0663622346103665
case1354_pegase,mt_4,10,13.1562,0.8986168505174004,1.1128213313874826,1.6037,0.9728827954380004,1.0278730435867058,0.2838,0.9049744897959184,1.1050035236081748,0.17725,0.9826749826749825,1.0176304654442878,0.123,0.9540800496431895,1.048130081300813,14.7629,0.9061552437422506,1.1035636629659487,0.33688,0.9367665869528947,1.067501781049632
case1354_pegase,mt_8,10,12.6895,0.8667395239233634,1.1537491626935654,1.5849,0.9614777966512982,1.0400656192819737,0.2812,0.8966836734693878,1.1152204836415363,0.174625,0.968121968121968,1.0329277022190408,0.12278,0.9523735650015513,1.0500081446489657,14.2775,0.8763611141801396,1.1410821222202767,0.33366,0.9278126911740171,1.0778037523227237
case1354_pegase,mt_16,10,12.459299999999999,0.8510160172125268,1.17506601494466,1.5909,0.9651176898810968,1.0361430636746496,0.2829,0.9021045918367346,1.1085189112760694,0.174675,0.9683991683991683,1.0326320309145556,0.12654,0.9815389388768229,1.0188082819661766,14.0531,0.8625873138634159,1.1593029296027213,0.33776,0.9392136143707247,1.064720511605874
case1354_pegase,mt_32,10,12.6258,0.8623885796250128,1.1595700866479748,1.6229,0.9845304537733559,1.0157126132232424,0.27790000000000004,0.8861607142857144,1.1284634760705288,0.17395,0.9643797643797642,1.036935901121012,0.12236,0.9491157306856964,1.0536122915985617,14.2513,0.8747529431984188,1.143179920428312,0.3318,0.9226405650408764,1.0838456901748041
case2746wop_k,no_mt,10,19.8222,1.0,1.0,1.6444,1.0,1.0,0.41459999999999997,1.0,1.0,0.27989999999999,1.0,1.0,0.158575,1.0,1.0,21.4693,1.0,1.0,0.507425,1.0,1.0
case2746wop_k,mt_auto,10,19.4783,0.9826507653035487,1.0176555448884141,1.6014,0.9738506446120164,1.0268515049331837,0.3827,0.9230583695127834,1.0833551084400312,0.2747,0.9814219364058944,1.0189297415361849,0.1567,0.9881759419832887,1.0119655392469686,21.0826,0.9819882343625549,1.0183421399637616,0.481,0.9479233384243977,1.05493762993763
case2746wop_k,mt_1,10,19.7298,0.9953385597965918,1.0046832709910896,1.6089,0.9784115786913159,1.0220647647460999,0.383,0.9237819585142306,1.0825065274151435,0.27383333333333,0.9783255924735255,1.0221545952525626,0.152725,0.9631089389878607,1.038304141430676,21.3416,0.9940519718854364,1.0059836188476965,0.47495,0.9360003941469182,1.0683756184861566
case2746wop_k,mt_2,10,16.6483,0.8398815469524069,1.1906440897869452,1.6006,0.9733641449768913,1.0273647382231663,0.382,0.9213699951760734,1.0853403141361255,0.2732,0.976062879599892,1.0245241581258784,0.1524,0.9610594355982974,1.040518372703412,18.2519,0.8501395015207761,1.1762775382288968,0.47245,0.9310735576686209,1.0740289977775426
case2746wop_k,mt_4,10,16.5427,0.8345541867199403,1.1982445429101658,1.6591,1.008939430795427,0.9911397745765776,0.4503,1.0861070911722142,0.9207195203197868,0.28463333333333,1.0169108014767425,0.9833704180817189,0.17567499999999997,1.1078354091124072,0.9026611640814004,18.2047,0.8479410134471081,1.179327316572094,0.57535,1.1338621471153372,0.8819414269575041
case2746wop_k,mt_8,10,15.0769,0.7606067944022359,1.3147397674588277,1.6209,0.985709073218195,1.0144981183293234,0.382,0.9213699951760734,1.0853403141361255,0.27309999999999,0.9757056091461228,1.0248993042841459,0.15205,0.9588522781018445,1.0429135152910227,16.7005,0.7778781795400875,1.2855483368761413,0.47357499999999997,0.9332906340838547,1.071477590666737
case2746wop_k,mt_16,10,14.7065,0.7419206747989628,1.3478529901744125,1.6143,0.9816954512284116,1.0186458526915692,0.3806,0.9179932465026532,1.0893326326852337,0.28166666666666,1.0063117780159703,0.9937278106508755,0.15215,0.9594828945294026,1.0422280644101214,16.3238,0.7603321952741822,1.315214594640954,0.48695,0.9596492092427452,1.0420474381353322
