nd_label,run_name,source_exp,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
nd_10,cuda_edge_nd_nd_10,20260412,0.033689,0.0322617,0.0320575,0.031983,0.0005213957869667401,cuda,case4601_goc,mixed,0.037812,0.0363884,0.0361985,0.036076,0.0005166168147992599,5.668971958528e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004162,0.0041262,0.004137,0.004081,2.6029043607307263e-05,cuda_mixed_edge,True
nd_11,cuda_edge_nd_nd_11,20260412,0.035871,0.0344662,0.034354499999999996,0.03412,0.0005082488017147162,cuda,case4601_goc,mixed,0.040096,0.0386907,0.0385775,0.03833,0.0005085179009194809,5.126377100595e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004243,0.004224,0.004224,0.00421,1.0519822558706328e-05,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,20260412,0.014463,0.0140372,0.013979,0.013936,0.00015783803231301524,cuda,case793_goc,mixed,0.015924,0.0154729,0.015435500000000001,0.015156,0.00019037591467643424,8.77739397831e-09,cuda_edge,5.9,edge_based,end2end,cuda_edge,10,0.001477,0.001435,0.0014545,0.001211,7.922541679705234e-05,cuda_mixed_edge,True
nd_5,cuda_edge_nd_nd_5,20260413,0.012883,0.0125919,0.012553499999999999,0.012509,0.00011401213385717649,cuda,case793_goc,mixed,0.014171,0.0140111,0.014044000000000001,0.013737,0.0001462429105594146,9.748003404475e-09,cuda_edge,5.7,edge_based,end2end,cuda_edge,10,0.001509,0.0014187,0.0014915000000000002,0.00122,0.00012954282861063536,cuda_mixed_edge,True
nd_6,cuda_edge_nd_nd_6,20260413,0.013279,0.012938100000000001,0.01287,0.012848,0.0001469787966567512,cuda,case793_goc,mixed,0.014828,0.0144832,0.014419000000000001,0.014385,0.000146210502738726,2.851881339869e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.00156,0.0015445,0.0015474999999999998,0.001528,9.913514905308684e-06,cuda_mixed_edge,True
nd_7,cuda_edge_nd_nd_7,20260413,0.013303,0.0129817,0.01295,0.012928,0.00011349111565815792,cuda,case793_goc,mixed,0.014746,0.0144264,0.014416499999999999,0.014159,0.00013931355521508564,7.788701794631e-09,cuda_edge,5.9,edge_based,end2end,cuda_edge,10,0.001482,0.0014446,0.0014715,0.001209,8.350941397364863e-05,cuda_mixed_edge,True
nd_8,cuda_edge_nd_nd_8,20260412,0.013477,0.0132616,0.013224,0.013177,9.43965630259444e-05,cuda,case793_goc,mixed,0.015065,0.0148419,0.0148015,0.014768,9.640014983851896e-05,2.691701845701e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.001591,0.0015797,0.0015805,0.001564,8.056053624449132e-06,cuda_mixed_edge,True
nd_9,cuda_edge_nd_nd_9,20260412,0.014049,0.0137784,0.0137165,0.01367,0.00013523247473230031,cuda,case793_goc,mixed,0.015684,0.0154004,0.015339,0.015284,0.0001377721145789508,2.896460848945e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.001635,0.0016217,0.001621,0.001613,7.916929820187708e-06,cuda_mixed_edge,True
nd_10,cuda_edge_nd_nd_10,20260412,0.014624,0.0142259,0.014138000000000001,0.014115,0.0001735155772706172,cuda,case793_goc,mixed,0.015957,0.0157089,0.015718000000000003,0.015452,0.00014965400837338826,9.779698687724e-09,cuda_edge,5.6,edge_based,end2end,cuda_edge,10,0.001599,0.0014824,0.0015795000000000002,0.001318,0.00013307825600834353,cuda_mixed_edge,True
nd_11,cuda_edge_nd_nd_11,20260412,0.014416,0.0140598,0.014021,0.013988,0.00012695038400887165,cuda,case793_goc,mixed,0.0159,0.0154502,0.015460000000000002,0.015229,0.0001923080861534431,9.601823550663e-09,cuda_edge,5.7,edge_based,end2end,cuda_edge,10,0.001484,0.0013903000000000001,0.0014625,0.001206,0.00012567068959078018,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,20260412,0.050234,0.0477562,0.047503500000000004,0.047334,0.0008774867900240247,cuda,case8387_pegase,mixed,0.056187,0.0538098,0.0535105,0.053354,0.0008488774024819164,2.962828205e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.006217,0.006053,0.0059985,0.005933,0.00012179947089832166,cuda_mixed_edge,True
nd_5,cuda_edge_nd_nd_5,20260413,0.045196,0.0427317,0.042516,0.042254,0.0008754496051236253,cuda,case8387_pegase,mixed,0.053093,0.0506125,0.0503825,0.050061,0.0008814009366407048,3.462036213264e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.008121,0.0078801,0.007862999999999998,0.007761,0.00010957843461800939,cuda_mixed_edge,True
