case_name,nd_label,source_exp,runs,cudss_analysis_ms,cudss_analysis_ms_ratio_vs_baseline,cudss_analysis_ms_speedup_vs_baseline,cudss_setup_ms,cudss_setup_ms_ratio_vs_baseline,cudss_setup_ms_speedup_vs_baseline,cudss_factorization_ms,cudss_factorization_ms_ratio_vs_baseline,cudss_factorization_ms_speedup_vs_baseline,cudss_refactorization_ms,cudss_refactorization_ms_ratio_vs_baseline,cudss_refactorization_ms_speedup_vs_baseline,cudss_solve_ms,cudss_solve_ms_ratio_vs_baseline,cudss_solve_ms_speedup_vs_baseline,nr_analyze_linear_solve_ms,nr_analyze_linear_solve_ms_ratio_vs_baseline,nr_analyze_linear_solve_ms_speedup_vs_baseline,nr_iteration_linear_solve_ms,nr_iteration_linear_solve_ms_ratio_vs_baseline,nr_iteration_linear_solve_ms_speedup_vs_baseline
case793_goc,nd_11,20260412,10,12.0727,1.006142178514876,0.9938953175346029,1.5923,1.0292159524271218,0.9716133894366639,0.2191,0.9950045413260671,1.0050205385668645,0.11384166666667,0.9973716872308679,1.0026352390014492,0.08369499999999999,0.9911771672193272,1.0089013680626084,13.6679,1.0087755553915418,0.9913007850511052,0.232335,0.9885964725655809,1.0115350678976478
case8387_pegase,auto,20260412,10,42.6591,1.0,1.0,1.6401000000000001,1.0,1.0,0.6567000000000001,1.0,1.0,0.55754,1.0,1.0,0.24220000000001,1.0,1.0,44.3023,1.0,1.0,0.85321666666666,1.0,1.0
case8387_pegase,nd_5,20260413,10,37.57,0.8807030621836841,1.135456481235028,1.6497,1.0058533016279494,0.994180760138207,0.9739,1.4830211664382518,0.6742992093644112,0.86558,1.5524984754457078,0.6441230157813258,0.24943333333334,1.0298651252408328,0.9710009354537091,39.2232,0.8853535820939319,1.1294922392869526,1.1689333333332,1.370031058933693,0.7299104596784168
case8387_pegase,nd_6,20260413,10,36.0007,0.8439160694904487,1.1849519592674587,1.6606,1.0124992378513504,0.9876550644345418,0.9276,1.4125171311100957,0.7079560155239328,0.83262,1.493381640779137,0.6696211957435565,0.25613333333334,1.0575282135975617,0.9456012493493117,37.664500000000004,0.8501703071849543,1.1762349161677441,1.1408666666667,1.3371359365538753,0.747867118564806
case8387_pegase,nd_7,20260413,10,34.8885,0.817844258317686,1.2227266864439572,1.6035,0.9776842875434424,1.0228250701590273,0.7617,1.1598903608953859,0.8621504529342261,0.66094,1.185457545646949,0.8435561473053531,0.25863333333335,1.0678502614919048,0.9364608841345318,36.4952,0.8237766436505553,1.213921282798834,0.97178333333333,1.1389643115269716,0.8779906357727164
case8387_pegase,nd_8,20260412,10,35.4031,0.8299073351289643,1.204953803480486,1.5997,0.9753673556490456,1.0252547352628618,0.6922,1.0540581696360591,0.9487142444380238,0.5945,1.066291207805718,0.9378301093355761,0.25709999999999,1.0615194054499562,0.9420458965383874,37.0062,0.8353110335129327,1.1971588544622254,0.90754999999999,1.0636805813294752,0.9401318568306642
case8387_pegase,nd_9,20260412,10,38.879799999999996,0.9114069448253712,1.0972047181312663,1.6538,1.0083531491982196,0.9917160478897087,0.6738,1.02603928734582,0.9746215494211934,0.57454,1.0304910858413747,0.9704111114978939,0.22038333333334,0.9099229287090459,1.0989941768131406,40.5368,0.9150044128634405,1.0928909040674153,0.84945,0.9955853339323815,1.0044342417642709
case8387_pegase,nd_10,20260412,10,42.9536,1.0069035680546472,0.9931437644341802,1.7227,1.050362782757149,0.952052011377489,0.6903,1.0511649154865235,0.9513255106475446,0.575,1.0313161387523764,0.9696347826086958,0.24665,1.018373245251816,0.9819582404216906,44.679700000000004,1.0085187450764408,0.9915532109660539,0.91875,1.0768073760084471,0.9286712018140517
case8387_pegase,nd_11,20260412,10,46.2529,1.0842446277582038,0.9223010881479865,1.5998,0.9754283275410036,1.0251906488311038,0.632,0.9623876960560377,1.0390822784810128,0.53262,0.9553036553431143,1.0467875783860916,0.22581666666668,0.9323561794660226,1.0725514798139895,47.856,1.0802147969744234,0.9257418087596122,0.8139833333333301,0.9540171507823372,1.0481991850774954
case9241_pegase,auto,20260412,10,46.5733,1.0,1.0,1.6307,1.0,1.0,0.6906,1.0,1.0,0.59258333333333,1.0,1.0,0.24175714285716,1.0,1.0,48.2072,1.0,1.0,0.89332857142858,1.0,1.0
case9241_pegase,nd_5,20260413,10,42.025800000000004,0.902358218120683,1.108207339301096,1.6659,1.0215858220396148,0.9788702803289514,0.9707,1.4055893426006372,0.7114453487174204,0.85735000000001,1.446800731261451,0.6911801870103494,0.25815714285714,1.0678366719847852,0.9364728017266,43.6948,0.9063957251198991,1.103270869760246,1.1729428571428,1.3130027345560777,0.7616130368061244
case9241_pegase,nd_6,20260413,10,39.4603,0.8472730083545721,1.1802571191805438,1.6843,1.032869319923959,0.9681766906133112,0.9242,1.338256588473791,0.7472408569573685,0.81871666666667,1.381605962593179,0.7237953708038934,0.2607,1.0783549016131126,0.9273384843005754,41.1478,0.8535612937486515,1.1715620276175156,1.1376428571429,1.2734875985480025,0.7852451811389244
case9241_pegase,nd_7,20260413,10,38.588300000000004,0.8285498343471475,1.2069280066755985,1.642,1.006929539461581,0.9931181485992693,0.8866,1.2838111786852013,0.7789307466726821,0.79619999999999,1.3436084938827075,0.7442644226743751,0.26677142857142,1.1034686521301234,0.9062332655029315,40.2335,0.8345952471829934,1.1981855916089825,1.1141714285715,1.2472134712872285,0.801787362806398
case9241_pegase,nd_8,20260412,10,39.082100000000004,0.8391524757747465,1.1916785433740766,1.6038000000000001,0.9835040166799535,1.016772664920813,0.8123,1.1762235737040256,0.8501785054782716,0.71848333333333,1.2124595696807774,0.8247697696536678,0.26355714285715,1.0901731371505756,0.9172854897284808,40.689099999999996,0.8440461175923928,1.1847693854128012,1.0339142857142,1.1573729071049415,0.8640257551055045
case9241_pegase,nd_9,20260412,10,42.8902,0.9209182085014375,1.0858727634751062,1.5984,0.9801925553443307,1.0202077077077076,0.6952,1.0066608746017955,0.9933831990794015,0.59578333333333,1.0054000843763184,0.994628919909363,0.23378571428571,0.9670271228504721,1.0340971585702114,44.4918,0.9229285251995551,1.0835075227345263,0.8863142857142899,0.9921481457790239,1.0079139937461767
case9241_pegase,nd_10,20260412,10,46.9092,1.007212286868227,0.9928393577379279,1.7182,1.0536579383087017,0.9490746129670586,0.7167,1.0377932232841007,0.9635830891586438,0.6199,1.046097595274932,0.9559337527558155,0.24739999999999002,1.023341015186319,0.9771913615892067,48.6306,1.0087829203936343,0.9912935476839685,0.96698571428572,1.082452465098424,0.9238280961456106
case9241_pegase,nd_11,20260412,10,50.3801,1.0817378197379184,0.9244384191377152,1.6237,0.9957073649353038,1.004311141220669,0.6414,0.9287576020851434,1.076707202993452,0.5448,0.9193643650682093,1.0877080274106645,0.24848571428572,1.0278319446906086,0.9729216971369904,52.0072,1.0788263993760268,0.9269331938654648,0.85014285714286,0.9516575248268854,1.050798185178968
