analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.000508,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001485,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,7,0.000976,cpu_fp64_edge,True
0.00051,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001488,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,8,0.000978,cpu_fp64_edge,True
0.000508,cpu,500,case_ACTIVSg500,,fp64,case_ACTIVSg500,0.001469,3.478689418726e-11,cpp,4,edge_based,0.03058561719037,end2end,444,cpp,55,9,0.000961,cpu_fp64_edge,True
0.012724,cuda,500,case_ACTIVSg500,,mixed,case_ACTIVSg500,0.013778,4.967786039887e-11,cuda_edge,4,edge_based,0.03058561718991,end2end,444,cuda_edge,55,0,0.001053,cuda_mixed_edge,True
0.019853,cuda,500,case_ACTIVSg500,,mixed,case_ACTIVSg500,0.020909,4.809225707853e-11,cuda_edge,4,edge_based,0.03058561718992,end2end,444,cuda_edge,55,1,0.001055,cuda_mixed_edge,True
0.01226,cuda,500,case_ACTIVSg500,,mixed,case_ACTIVSg500,0.01331,4.996872863357e-11,cuda_edge,4,edge_based,0.03058561719003,end2end,444,cuda_edge,55,2,0.001049,cuda_mixed_edge,True
0.012349,cuda,500,case_ACTIVSg500,,mixed,case_ACTIVSg500,0.0134,4.98040806192e-11,cuda_edge,4,edge_based,0.03058561718998,end2end,444,cuda_edge,55,3,0.00105,cuda_mixed_edge,True
0.012546,cuda,500,case_ACTIVSg500,,mixed,case_ACTIVSg500,0.01361,8.402767021666e-11,cuda_edge,4,edge_based,0.03058561719003,end2end,444,cuda_edge,55,4,0.001064,cuda_mixed_edge,True
0.012328,cuda,500,case_ACTIVSg500,,mixed,case_ACTIVSg500,0.013371,5.566834669833e-11,cuda_edge,4,edge_based,0.0305856171898,end2end,444,cuda_edge,55,5,0.001042,cuda_mixed_edge,True
0.012212,cuda,500,case_ACTIVSg500,,mixed,case_ACTIVSg500,0.013271,4.765056636237e-11,cuda_edge,4,edge_based,0.03058561719009,end2end,444,cuda_edge,55,6,0.001059,cuda_mixed_edge,True
