config	case	B	iters	solve_total_us	factorize_us	tri_solve_us	ibus_us	jacobian_us	mismatch_us	mnorm_us	prepare_rhs_us	voltage_update_us	upload_us	download_us
custom-mixed-fp32	case_ACTIVSg25k	256	5	237217	97365.1	22487.9	7224.2	8148.53	2521.2	703.133	0	4022.2	19592.7	67381.9
custom-mixed-tf32	case_ACTIVSg25k	1	5	4671.07	2376.87	1511.4	94.3333	66.4	45.4667	91.5333	0	60.8667	320.333	84.8667
custom-mixed-tf32	case_ACTIVSg25k	16	5	13900.7	6704	2990.67	520.133	553.533	193.6	134.333	0	302.6	1426.53	1055.27
custom-mixed-tf32	case_ACTIVSg25k	64	5	48894.7	23947.7	7111.4	2030.27	2064.47	653.867	286.133	0	1075.67	6099.2	5338.6
custom-mixed-tf32	case_ACTIVSg25k	256	5	234524	97473.4	25047	7830.2	9058.73	3028.2	770.933	0	4508.47	18705.1	60916.9
cudss-fp64	case_SyntheticUSA	1	7	39037.5	27521.1	8873.33	229.8	535.6	85.8	142.2	0	128.333	1151.87	340.733
cudss-fp64	case_SyntheticUSA	16	7	394532	294179	79329.9	2175.33	7353.2	787.533	335.4	0	1336.4	4814.07	4086.07
cudss-fp64	case_SyntheticUSA	64	7	1.56932e+06	1.14494e+06	305198	8171	28460.9	3029.33	880	0	5127.33	15915.4	51640.9
cudss-fp64	case_SyntheticUSA	256	7	6.22614e+06	4.54975e+06	1.20927e+06	32370.9	113522	12219.4	2860.6	0	21234.7	61241.9	199898
custom-fp64	case_SyntheticUSA	1	7	59711.8	49353.8	7703.33	230.6	538.2	88.5333	155.6	0	138.8	1104.2	370.467
custom-fp64	case_SyntheticUSA	16	7	166587	123736	21645	2153.33	7241.13	787.8	340.867	0	1344.13	5036.73	4162.33
custom-fp64	case_SyntheticUSA	64	7	571070	380664	70678.3	8195.07	28527.9	3025.13	864.533	0	5215.27	16502.9	51267.7
custom-fp64	case_SyntheticUSA	256	7	2.16136e+06	1.42878e+06	270671	32321.1	113284	12067	2986.4	1.06667	20273.9	62423.5	196552
cudss-mixed	case_SyntheticUSA	1	8	25908.7	17340.1	6187.33	236.2	249.667	92.4667	153.467	55.3333	137.4	1085.47	339.133
cudss-mixed	case_SyntheticUSA	16	8	283753	196461	67602.7	2642.2	3230.13	912.133	421.267	319.267	1524.07	5815.47	4520.53
cudss-mixed	case_SyntheticUSA	64	8	1.15891e+06	766359	264000	10172.2	14226.3	3689.4	1026.07	1046.13	6268.13	20514.2	64062.7
cudss-mixed	case_SyntheticUSA	256	8	4.55528e+06	3.04067e+06	1.04504e+06	37388	53007.5	14081.2	3501.73	3974.33	26403.9	70020.8	232857
custom-mixed-fp32	case_SyntheticUSA	1	8	20570.5	14026	4526.27	241.8	255.133	94.6	157.6	0	143.8	888.867	207.2
custom-mixed-fp32	case_SyntheticUSA	16	8	80409.3	49560.5	12233.4	2631.2	3196.2	1308.2	379.667	0	1587.4	5301.07	4085.53
custom-mixed-fp32	case_SyntheticUSA	64	8	336073	181190	35961.1	8866.6	12918.5	3551.4	1293.8	0	6013.6	17947.2	61205.9
custom-mixed-fp32	case_SyntheticUSA	256	8	1.25282e+06	710069	132756	35146.1	49940.8	14026.9	3271.8	0	22934.7	62747.3	198491
custom-mixed-tf32	case_SyntheticUSA	1	8	18884.3	12036.2	4844.33	255.333	273	100	160.4	0	149.867	834.133	200.467
custom-mixed-tf32	case_SyntheticUSA	16	8	76708.9	47588.7	12141.1	2351.4	3192.67	894.867	362.2	0	1504.33	4644.87	3881.53
custom-mixed-tf32	case_SyntheticUSA	64	8	323044	173777	35834	9324	12837.4	3961.93	985.933	0	5988.6	17411.5	56081.5
custom-mixed-tf32	case_SyntheticUSA	256	8	1.21221e+06	675063	132801	34901.5	49955.7	13870.5	3292.33	0	22813.1	60885.7	196598
