case_name,count_mean,metric,ms_mean,ms_stdev,profile,profile_elapsed_speedup_vs_cuda_edge,profile_solve_speedup_vs_cuda_edge,runs,sec_mean,sec_stdev,section,share_of_profile_elapsed,share_of_profile_solve,source_column,success_all
case_ACTIVSg200,3.0,mismatch,0.0818,0.005138093031466051,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,8.18e-05,5.138093031466051e-06,nr,0.006662648443481518,0.08564548214846612,NR.iteration.mismatch.total_sec,True
case_ACTIVSg200,2.0,jacobian,0.3066,0.007366591251499342,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.00030659999999999997,7.366591251499342e-06,nr,0.02497271409256031,0.3210135064391163,NR.iteration.jacobian.total_sec,True
case_ACTIVSg200,2.0,linear_solve,0.4133,0.00855115326854935,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.0004133,8.55115326854935e-06,nr,0.0336634792382752,0.43272955711443833,NR.iteration.linear_solve.total_sec,True
case_ACTIVSg200,2.0,voltage_update,0.0399,0.0003162277660168392,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,3.99e-05,3.162277660168392e-07,nr,0.0032498737517715477,0.04177573029002199,NR.iteration.voltage_update.total_sec,True
case_ACTIVSg200,1.0,download,0.0198,0.0010327955589886442,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,1.98e-05,1.0327955589886442e-06,nr,0.001612719305390392,0.020730813527379332,NR.solve.download.total_sec,True
case_ACTIVSg200,2.0,rhs_prepare,0.0392,0.006860515043833565,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,3.92e-05,6.8605150438335645e-06,cudss,0.003192858422793099,0.04104282274107423,CUDA.solve.rhsPrepare.total_sec,True
case_ACTIVSg200,1.0,factorization,0.1123,0.0010593499054713795,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.00011229999999999999,1.0593499054713796e-06,cudss,0.009146887777542476,0.11757931106690399,CUDA.solve.factorization32.total_sec,True
case_ACTIVSg200,1.0,refactorization,0.1043,0.0009486832980505172,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.0001043,9.486832980505171e-07,cudss,0.008495284017788781,0.10920322479321537,CUDA.solve.refactorization32.total_sec,True
case_ACTIVSg200,2.0,solve,0.1546,0.001264911064067348,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,0.0001546,1.264911064067348e-06,cudss,0.01259224265724013,0.16186786723903257,CUDA.solve.solve32.total_sec,True
case_ACTIVSg200,2.0,cuda_to_cpu_voltage,0.0474,0.0012649110640673513,cuda_wo_jacobian,0.9814944532229951,0.6649565490524553,10,4.74e-05,1.2649110640673513e-06,ablation_bridge,0.0038607522765406353,0.04962831117160507,ABLATION.cuda_to_cpu_voltage.total_sec,True
