case_name,ms_mean,ms_stdev,operator,operator_short,runs,scope,sec_mean,sec_stdev,share,success_all
Texas7k_20220923,7.20258392393589,0.04706163185349037,runpf.build_Ybus,build_Ybus,10,runpf,0.00720258392393589,4.706163185349037e-05,0.04699812993191392,True
Texas7k_20220923,0.20859967917203903,0.001765184616693939,runpf.build_Sbus,build_Sbus,10,runpf,0.00020859967917203904,1.7651846166939389e-06,0.0013611496830884151,True
Texas7k_20220923,107.08697717636824,0.27145932599220834,runpf.newtonpf,newtonpf,10,runpf,0.10708697717636824,0.00027145932599220837,0.6987614056984993,True
Texas7k_20220923,0.014516524970531464,0.00035302381111487774,newtonpf.init_index,init_index,10,newtonpf,1.4516524970531464e-05,3.5302381111487776e-07,0.00013580707519609612,True
Texas7k_20220923,0.5514899268746376,0.019254878616092392,newtonpf.mismatch,mismatch,10,newtonpf,0.0005514899268746376,1.9254878616092393e-05,0.005159377614201248,True
Texas7k_20220923,30.309797637164593,0.2355138098055299,newtonpf.jacobian,jacobian,10,newtonpf,0.03030979763716459,0.00023551380980552992,0.2835585634471696,True
Texas7k_20220923,75.09014550596476,0.23738360482640855,newtonpf.solve,solve,10,newtonpf,0.07509014550596475,0.00023738360482640855,0.7024940926231192,True
Texas7k_20220923,0.9248360991477966,0.01797443454569848,newtonpf.update_voltage,update_voltage,10,newtonpf,0.0009248360991477966,1.797443454569848e-05,0.008652159240313744,True
Base_Texas_66GW,32.63207748532295,0.25476474051197584,runpf.load_case_data,load_case_data,10,runpf,0.03263207748532295,0.00025476474051197584,0.15443967816100712,True
Base_Texas_66GW,9.346350282430649,0.08180067901655547,runpf.bus_indexing,bus_indexing,10,runpf,0.009346350282430648,8.180067901655546e-05,0.044234000432484016,True
Base_Texas_66GW,8.746766485273838,0.0794083949787414,runpf.build_Ybus,build_Ybus,10,runpf,0.008746766485273838,7.94083949787414e-05,0.04139631629468736,True
Base_Texas_66GW,0.21806415170431137,0.003196641585918278,runpf.build_Sbus,build_Sbus,10,runpf,0.00021806415170431138,3.1966415859182777e-06,0.001032044540308972,True
Base_Texas_66GW,160.35009492188692,2.002449536265274,runpf.newtonpf,newtonpf,10,runpf,0.16035009492188693,0.002002449536265274,0.7588979605715126,True
Base_Texas_66GW,0.014857389032840729,0.0002629626483977042,newtonpf.init_index,init_index,10,newtonpf,1.4857389032840729e-05,2.629626483977042e-07,9.278157864183297e-05,True
Base_Texas_66GW,0.8121062070131302,0.1119410270805399,newtonpf.mismatch,mismatch,10,newtonpf,0.0008121062070131302,0.00011194102708053991,0.005071449347187405,True
Base_Texas_66GW,44.65209115296602,0.6699272872286888,newtonpf.jacobian,jacobian,10,newtonpf,0.04465209115296602,0.0006699272872286888,0.27884384649777805,True
Base_Texas_66GW,113.29393740743399,1.2367146110812486,newtonpf.solve,solve,10,newtonpf,0.11329393740743399,0.0012367146110812486,0.7074991669112218,True
Base_Texas_66GW,1.3599701225757599,0.0324531999329032,newtonpf.update_voltage,update_voltage,10,newtonpf,0.00135997012257576,3.24531999329032e-05,0.0084927556651709,True
Base_MIOHIN_76GW,46.06741853058338,1.5837664841859744,runpf.load_case_data,load_case_data,10,runpf,0.04606741853058338,0.0015837664841859744,0.13974381563395594,True
Base_MIOHIN_76GW,13.106567226350307,0.9981092715239466,runpf.bus_indexing,bus_indexing,10,runpf,0.013106567226350308,0.0009981092715239466,0.03975828844972513,True
Base_MIOHIN_76GW,12.369702756404877,0.24569877575168986,runpf.build_Ybus,build_Ybus,10,runpf,0.012369702756404876,0.00024569877575168986,0.03752303724790435,True
